scientificName;phylum_name;class_name;order_name;family_name;genus_name;broad
Archaeospora sp. PODO7.3;Mucoromycota;Glomeromycetes;Archaeosporales;Archaeosporaceae;Archaeospora;fungi
Glomus sp. 9 SUN-2011;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae;Glomus;fungi
Capsellina sp. ATCC 50039;amoebozoa;NA;NA;Chlamydophryidae;Capsellina;protiste
Pseudochilodonopsis sp. 3 WS-2013;ciliata;Phyllopharyngea;Chlamydodontida;Chilodonellidae;Pseudochilodonopsis;protiste
Acrobeles sp.;Nematoda;Chromadorea;Rhabditida;Cephalobidae;Acrobeles;nématode
Panagrolaimus sp. PS443;Nematoda;Chromadorea;Rhabditida;Panagrolaimidae;Panagrolaimus;nématode
Mesorhabditis sp. 334Meso1;Nematoda;Chromadorea;Rhabditida;Rhabditidae;Mesorhabditis;nématode
Leptomyxa sp. AS-2016b;amoebozoa;NA;Leptomyxida;Leptomyxidae;Leptomyxa;protiste
Melolonthinae;Arthropoda;Insecta;Coleoptera;Scarabaeidae;NA;insecte
uncultured Candidatus Nitrosopumilus sp.;Thaumarchaeota;NA;Nitrosopumilales;Nitrosopumilaceae;Nitrosopumilus;archae
Nitrososphaeraceae;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;NA;archae
uncultured Nitrososphaera sp.;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrososphaera;archae
Methanomassiliicoccus sp. 138;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;archae
Methanomassiliicoccus sp. 142;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;archae
Methanomassiliicoccus sp. P27;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;archae
uncultured Acidimicrobium sp.;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium;bactérie
uncultured Aciditerrimonas sp.;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Aciditerrimonas;bactérie
uncultured Ferrimicrobium sp.;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ferrimicrobium;bactérie
uncultured Ferrithrix sp.;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ferrithrix;bactérie
uncultured Ilumatobacter sp.;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ilumatobacter;bactérie
uncultured Iamia sp.;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Iamia;bactérie
uncultured Candidatus Microthrix sp.;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Microthrixaceae;Candidatus Microthrix;bactérie
uncultured Acidothermus sp.;Actinobacteria;Actinobacteria;Acidothermales;Acidothermaceae;Acidothermus;bactérie
uncultured Actinomyces sp.;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;bactérie
Mycobacterium sp. PSY065;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;bactérie
uncultured Mycobacterium sp.;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;bactérie
uncultured Rhodococcus sp.;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;bactérie
uncultured Frankia sp.;Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Frankia;bactérie
uncultured Sporichthya sp.;Actinobacteria;Actinobacteria;Frankiales;Sporichthyaceae;Sporichthya;bactérie
Blastococcus sp. URHB0062;Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Blastococcus;bactérie
Blastococcus sp. URHD0003;Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Blastococcus;bactérie
Geodermatophilus sp. Z2R53;Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Geodermatophilus;bactérie
uncultured Kineococcus sp.;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus;bactérie
uncultured Kineosporia sp.;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineosporia;bactérie
Demequina sp. CMS382;Actinobacteria;Actinobacteria;Micrococcales;Demequinaceae;Demequina;bactérie
uncultured Demequina sp.;Actinobacteria;Actinobacteria;Micrococcales;Demequinaceae;Demequina;bactérie
uncultured Janibacter sp.;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Janibacter;bactérie
Frigoribacterium sp. B1-25c-3;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Frigoribacterium;bactérie
Humibacter sp. Po15c;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Humibacter;bactérie
Leifsonia sp. A5AGK;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Leifsonia;bactérie
Salinibacterium sp. CC13L1;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Salinibacterium;bactérie
uncultured Sinomonas sp.;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Sinomonas;bactérie
uncultured Actinocatenispora sp.;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinocatenispora;bactérie
Actinoplanes sp. IR51-RC111;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes;bactérie
uncultured Actinoplanes sp.;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes;bactérie
Catellatospora sp. KC-EP-S6;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Catellatospora;bactérie
uncultured Dactylosporangium sp.;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Dactylosporangium;bactérie
Luedemannella sp. 119-1-07;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Luedemannella;bactérie
uncultured Micromonospora sp.;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora;bactérie
Nakamurella sp. A24MTO;Actinobacteria;Actinobacteria;Nakamurellales;Nakamurellaceae;Nakamurella;bactérie
Aeromicrobium sp. HJX17;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium;bactérie
Aeromicrobium sp. RODSPM17;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Aeromicrobium;bactérie
Kribbella sp. enrichment culture clone VanCtr42;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Kribbella;bactérie
uncultured Marmoricola sp.;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Marmoricola;bactérie
Nocardioides sp.;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;bactérie
Nocardioides sp. MSL 24;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;bactérie
Nocardioides sp. RW28;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;bactérie
Nocardioides sp. SSRB28-7;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;bactérie
uncultured Nocardioides sp.;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;bactérie
uncultured Microlunatus sp.;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Microlunatus;bactérie
uncultured Lentzea sp.;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Lentzea;bactérie
uncultured Pseudonocardia sp.;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;bactérie
Streptomyces sp. PanSC6;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;bactérie
uncultured Streptomyces sp.;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;bactérie
