scientificName;originalscientificName;phylum_name;class_name;order_name;family_name;genus_name
environmental samples;environmental samples;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum
Skermanella;uncultured Skermanella sp.;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Skermanella
Altererythrobacter;uncultured Altererythrobacter sp.;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter
Erythrobacter;uncultured Erythrobacter sp.;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter
Novosphingobium;uncultured Novosphingobium sp.;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium
Sphingobium;uncultured Sphingobium sp.;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium
Sphingomonas;uncultured Sphingomonas sp.;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
Sphingosinicella;uncultured Sphingosinicella sp.;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingosinicella
Bellilinea;uncultured Bellilinea sp.;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Bellilinea
Levilinea;uncultured Levilinea sp.;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Levilinea
Longilinea;uncultured Longilinea sp.;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Longilinea
Bacillus;uncultured Bacillus sp.;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
Saccharibacillus;uncultured Saccharibacillus sp.;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Saccharibacillus
Pasteuria;uncultured Pasteuria sp.;Firmicutes;Bacilli;Bacillales;Pasteuriaceae;Pasteuria
Thermoflavimicrobium;uncultured Thermoflavimicrobium sp.;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Thermoflavimicrobium
Bacteroides;uncultured Bacteroides sp.;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
