verbatimScientificName;scientificName;retainedScientificName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species
uncultured Skermanella sp.;Skermanella Sly & Stackebrandt, 1999;Skermanella;3221640;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Skermanella;
uncultured Altererythrobacter sp.;Altererythrobacter Kwon & al., 2007;Altererythrobacter;4901674;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter;
uncultured Erythrobacter sp.;Erythrobacter Shiba & Simidu, 1982;Erythrobacter;3221318;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter;
uncultured Novosphingobium sp.;Novosphingobium;Novosphingobium;7512659;EXACT;92;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;
uncultured Sphingobium sp.;Sphingobium;Sphingobium;3221329;EXACT;92;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;
uncultured Sphingomonas sp.;Sphingomonas Yabuuchi & al., 1990;Sphingomonas;3221354;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;
uncultured Sphingosinicella sp.;Sphingosinicella Maruyama & al., 2006;Sphingosinicella;3221314;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingosinicella;
uncultured Bellilinea sp.;Bellilinea Yamada & al., 2007;Bellilinea;4903400;EXACT;94;ACCEPTED;GENUS;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Bellilinea;
uncultured Levilinea sp.;Levilinea Yamada & al., 2006;Levilinea;3229040;EXACT;94;ACCEPTED;GENUS;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Levilinea;
uncultured Longilinea sp.;Longilinea Yamada & al., 2007;Longilinea;4886727;EXACT;94;ACCEPTED;GENUS;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Longilinea;
uncultured Bacillus sp.;Bacillus Cohn, 1872;Bacillus;3227637;EDITED;99;ACCEPTED;GENUS;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;
uncultured Saccharibacillus sp.;Saccharibacillus Rivas & al., 2008;Saccharibacillus;7715336;EXACT;94;ACCEPTED;GENUS;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Saccharibacillus;
uncultured Pasteuria sp.;Pasteuria Metchnikoff, 1888;Pasteuria;3228067;EXACT;94;ACCEPTED;GENUS;Bacteria;Firmicutes;Bacilli;Bacillales;Pasteuriaceae;Pasteuria;
uncultured Thermoflavimicrobium sp.;Thermoflavimicrobium Yoon & al., 2005;Thermoflavimicrobium;3227472;EXACT;94;ACCEPTED;GENUS;Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Thermoflavimicrobium;
uncultured Bacteroides sp.;Bacteroides Castellani & Chalmers, 1919;Bacteroides;3222857;EXACT;94;ACCEPTED;GENUS;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
uncultured Derxia sp.;Derxia Jensen & al., 1960;Derxia;3219826;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Derxia;
uncultured Burkholderia sp.;Burkholderia Yabuuchi & al., 1993;Burkholderia;3219916;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;
uncultured Cupriavidus sp.;Cupriavidus Makkar & Casida, 1987;Cupriavidus;3220005;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;
uncultured Acidovorax sp.;Acidovorax Willems & al., 1990;Acidovorax;3220140;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;
uncultured Comamonas sp.;Comamonas, 1985;Comamonas;3220118;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;
uncultured Curvibacter sp.;Curvibacter Ding & Yokota, 2004;Curvibacter;3220112;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter;
uncultured Hydrogenophaga sp.;Hydrogenophaga Willems & al., 1989;Hydrogenophaga;3220160;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;
uncultured Polaromonas sp.;Polaromonas Irgens & al., 1996;Polaromonas;3220095;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas;
uncultured Rhodoferax sp.;Rhodoferax Hiraishi & al., 1992;Rhodoferax;3220072;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;
uncultured Herbaspirillum sp.;Herbaspirillum Baldani & al., 1986;Herbaspirillum;3219864;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum;
uncultured Herminiimonas sp.;Herminiimonas Fernandes & al., 2005;Herminiimonas;3219877;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herminiimonas;
uncultured Massilia sp.;Massilia La Scola & al., 2000;Massilia;3219853;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
uncultured Thiobacillus sp.;Thiobacillus Beijerinck, 1904;Thiobacillus;8408880;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Thiobacillus;
uncultured Methylobacillus sp.;Methylobacillus Yordy & Weaver, 1977;Methylobacillus;3220334;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylobacillus;
uncultured Methylophilus sp.;Methylophilus Jenkins & al., 1987;Methylophilus;3220331;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylophilus;
uncultured Nitrosospira sp.;Nitrosospira Winogradsky & Winogradsky, 1933;Nitrosospira;3220358;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;
uncultured Denitratisoma sp.;Denitratisoma Fahrbach & al., 2006;Denitratisoma;3220316;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Denitratisoma;
uncultured Ferribacterium sp.;Ferribacterium Cummings & al., 2000;Ferribacterium;3220318;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Ferribacterium;
uncultured Georgfuchsia sp.;Georgfuchsia Weelink & al., 2011;Georgfuchsia;7501881;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Georgfuchsia;
uncultured Propionivibrio sp.;Propionivibrio Tanaka & al., 1991;Propionivibrio;3220297;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Propionivibrio;
uncultured Sterolibacterium sp.;Sterolibacterium Tarlera & Denner, 2003;Sterolibacterium;3220311;EXACT;94;ACCEPTED;GENUS;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Sterolibacterium;
