LECA_id;Site;Parcelle;Echantillon;Repet;Couples
BISE01_a;Mons;T1;1;1;A+
BISE01_a;Mons;T1;1;2;A+
BISE01_a;Mons;T1;1;3;A+
BISE01_a;Mons;T1;1;4;A+
BISE01_b;Mons;T1;2;1;A+
BISE01_b;Mons;T1;2;2;A+
BISE01_b;Mons;T1;2;3;A+
BISE01_b;Mons;T1;2;4;A+
BISE01_c;Mons;T1;3;1;A+
BISE01_c;Mons;T1;3;2;A+
BISE01_c;Mons;T1;3;3;A+
BISE01_c;Mons;T1;3;4;A+
BISE01_d;Mons;T1;4;1;A+
BISE01_d;Mons;T1;4;2;A+
BISE01_d;Mons;T1;4;3;A+
BISE01_d;Mons;T1;4;4;A+
BISE02_a;Mons;T2;1;1;B+
BISE02_a;Mons;T2;1;2;B+
BISE02_a;Mons;T2;1;3;B+
BISE02_a;Mons;T2;1;4;B+
BISE02_b;Mons;T2;2;1;B+
BISE02_b;Mons;T2;2;2;B+
BISE02_b;Mons;T2;2;3;B+
BISE02_b;Mons;T2;2;4;B+
BISE02_c;Mons;T2;3;1;B+
BISE02_c;Mons;T2;3;2;B+
BISE02_c;Mons;T2;3;3;B+
BISE02_c;Mons;T2;3;4;B+
BISE02_d;Mons;T2;4;1;B+
BISE02_d;Mons;T2;4;2;B+
BISE02_d;Mons;T2;4;3;B+
BISE02_d;Mons;T2;4;4;B+
BISE03_a;Mons;T3;1;1;B-
BISE03_a;Mons;T3;1;2;B-
BISE03_a;Mons;T3;1;3;B-
BISE03_a;Mons;T3;1;4;B-
BISE03_b;Mons;T3;2;1;B-
BISE03_b;Mons;T3;2;2;B-
BISE03_b;Mons;T3;2;3;B-
BISE03_b;Mons;T3;2;4;B-
BISE03_c;Mons;T3;3;1;B-
BISE03_c;Mons;T3;3;2;B-
BISE03_c;Mons;T3;3;3;B-
BISE03_c;Mons;T3;3;4;B-
BISE03_d;Mons;T3;4;1;B-
BISE03_d;Mons;T3;4;2;B-
BISE03_d;Mons;T3;4;3;B-
BISE03_d;Mons;T3;4;4;B-
BISE04_a;Mons;T4;1;1;A-
BISE04_a;Mons;T4;1;2;A-
BISE04_a;Mons;T4;1;3;A-
BISE04_a;Mons;T4;1;4;A-
BISE04_b;Mons;T4;2;1;A-
BISE04_b;Mons;T4;2;2;A-
BISE04_b;Mons;T4;2;3;A-
BISE04_b;Mons;T4;2;4;A-
BISE04_c;Mons;T4;3;1;A-
BISE04_c;Mons;T4;3;2;A-
BISE04_c;Mons;T4;3;3;A-
BISE04_c;Mons;T4;3;4;A-
BISE04_d;Mons;T4;4;1;A-
BISE04_d;Mons;T4;4;2;A-
BISE04_d;Mons;T4;4;3;A-
BISE04_d;Mons;T4;4;4;A-
BISE05_a;Lus;T1;1;1;C+
BISE05_a;Lus;T1;1;2;C+
BISE05_a;Lus;T1;1;3;C+
BISE05_a;Lus;T1;1;4;C+
BISE05_b;Lus;T1;2;1;C+
BISE05_b;Lus;T1;2;2;C+
BISE05_b;Lus;T1;2;3;C+
BISE05_b;Lus;T1;2;4;C+
BISE05_c;Lus;T1;3;1;C+
BISE05_c;Lus;T1;3;2;C+
BISE05_c;Lus;T1;3;3;C+
BISE05_c;Lus;T1;3;4;C+
BISE05_d;Lus;T1;4;1;C+
BISE05_d;Lus;T1;4;2;C+
BISE05_d;Lus;T1;4;3;C+
BISE05_d;Lus;T1;4;4;C+
BISE06_a;Lus;T2;1;1;C-
BISE06_a;Lus;T2;1;2;C-
BISE06_a;Lus;T2;1;3;C-
BISE06_a;Lus;T2;1;4;C-
BISE06_b;Lus;T2;2;1;C-
BISE06_b;Lus;T2;2;2;C-
BISE06_b;Lus;T2;2;3;C-
BISE06_b;Lus;T2;2;4;C-
BISE06_c;Lus;T2;3;1;C-
BISE06_c;Lus;T2;3;2;C-
BISE06_c;Lus;T2;3;3;C-
BISE06_c;Lus;T2;3;4;C-
BISE06_d;Lus;T2;4;1;C-
BISE06_d;Lus;T2;4;2;C-
BISE06_d;Lus;T2;4;3;C-
BISE06_d;Lus;T2;4;4;C-
BISE07_a;Lus;T3;1;1;E+
BISE07_a;Lus;T3;1;2;E+
BISE07_a;Lus;T3;1;3;E+
BISE07_a;Lus;T3;1;4;E+
BISE07_b;Lus;T3;2;1;E+
BISE07_b;Lus;T3;2;2;E+
BISE07_b;Lus;T3;2;3;E+
BISE07_b;Lus;T3;2;4;E+
BISE07_c;Lus;T3;3;1;E+
BISE07_c;Lus;T3;3;2;E+
BISE07_c;Lus;T3;3;3;E+
BISE07_c;Lus;T3;3;4;E+
BISE07_d;Lus;T3;4;1;E+
BISE07_d;Lus;T3;4;2;E+
BISE07_d;Lus;T3;4;3;E+
BISE07_d;Lus;T3;4;4;E+
BISE08_a;Lus;T4;1;1;E-
BISE08_a;Lus;T4;1;2;E-
BISE08_a;Lus;T4;1;3;E-
BISE08_a;Lus;T4;1;4;E-
BISE08_b;Lus;T4;2;1;E-
BISE08_b;Lus;T4;2;2;E-
BISE08_b;Lus;T4;2;3;E-
BISE08_b;Lus;T4;2;4;E-
BISE08_c;Lus;T4;3;1;E-
BISE08_c;Lus;T4;3;2;E-
BISE08_c;Lus;T4;3;3;E-
BISE08_c;Lus;T4;3;4;E-
BISE08_d;Lus;T4;4;1;E-
BISE08_d;Lus;T4;4;2;E-
BISE08_d;Lus;T4;4;3;E-
BISE08_d;Lus;T4;4;4;E-
BISE09_a;Lus;TL6;1;1;D+
BISE09_a;Lus;TL6;1;2;D+
BISE09_a;Lus;TL6;1;3;D+
BISE09_a;Lus;TL6;1;4;D+
BISE09_b;Lus;TL6;2;1;D+
BISE09_b;Lus;TL6;2;2;D+
BISE09_b;Lus;TL6;2;3;D+
BISE09_b;Lus;TL6;2;4;D+
BISE09_c;Lus;TL6;3;1;D+
BISE09_c;Lus;TL6;3;2;D+
BISE09_c;Lus;TL6;3;3;D+
BISE09_c;Lus;TL6;3;4;D+
BISE09_d;Lus;TL6;4;1;D+
BISE09_d;Lus;TL6;4;2;D+
BISE09_d;Lus;TL6;4;3;D+
BISE09_d;Lus;TL6;4;4;D+
BISE10_a;Lus;TL3;1;1;D-
BISE10_a;Lus;TL3;1;2;D-
BISE10_a;Lus;TL3;1;3;D-
BISE10_a;Lus;TL3;1;4;D-
BISE10_b;Lus;TL3;2;1;D-
BISE10_b;Lus;TL3;2;2;D-
BISE10_b;Lus;TL3;2;3;D-
BISE10_b;Lus;TL3;2;4;D-
BISE10_c;Lus;TL3;3;1;D-
BISE10_c;Lus;TL3;3;2;D-
BISE10_c;Lus;TL3;3;3;D-
BISE10_c;Lus;TL3;3;4;D-
BISE10_d;Lus;TL3;4;1;D-
BISE10_d;Lus;TL3;4;2;D-
BISE10_d;Lus;TL3;4;3;D-
BISE10_d;Lus;TL3;4;4;D-
BISE11_a;ThLaq;Th11;1;1;G-
BISE11_a;ThLaq;Th11;1;2;G-
BISE11_a;ThLaq;Th11;1;3;G-
BISE11_a;ThLaq;Th11;1;4;G-
BISE11_b;ThLaq;Th11;2;1;G-
BISE11_b;ThLaq;Th11;2;2;G-
BISE11_b;ThLaq;Th11;2;3;G-
BISE11_b;ThLaq;Th11;2;4;G-
BISE11_c;ThLaq;Th11;3;1;G-
BISE11_c;ThLaq;Th11;3;2;G-
BISE11_c;ThLaq;Th11;3;3;G-
BISE11_c;ThLaq;Th11;3;4;G-
BISE11_d;ThLaq;Th11;4;1;G-
BISE11_d;ThLaq;Th11;4;2;G-
BISE11_d;ThLaq;Th11;4;3;G-
BISE11_d;ThLaq;Th11;4;4;G-
BISE12_a;ThLaq;Th13;1;1;G+
BISE12_a;ThLaq;Th13;1;2;G+
BISE12_a;ThLaq;Th13;1;3;G+
BISE12_a;ThLaq;Th13;1;4;G+
BISE12_b;ThLaq;Th13;2;1;G+
BISE12_b;ThLaq;Th13;2;2;G+
BISE12_b;ThLaq;Th13;2;3;G+
BISE12_b;ThLaq;Th13;2;4;G+
BISE12_c;ThLaq;Th13;3;1;G+
BISE12_c;ThLaq;Th13;3;2;G+
BISE12_c;ThLaq;Th13;3;3;G+
BISE12_c;ThLaq;Th13;3;4;G+
BISE12_d;ThLaq;Th13;4;1;G+
BISE12_d;ThLaq;Th13;4;2;G+
BISE12_d;ThLaq;Th13;4;3;G+
BISE12_d;ThLaq;Th13;4;4;G+
BISE13_a;ThLaq;Th18;1;1;F-
BISE13_a;ThLaq;Th18;1;2;F-
BISE13_a;ThLaq;Th18;1;3;F-
BISE13_a;ThLaq;Th18;1;4;F-
BISE13_b;ThLaq;Th18;2;1;F-
BISE13_b;ThLaq;Th18;2;2;F-
BISE13_b;ThLaq;Th18;2;3;F-
BISE13_b;ThLaq;Th18;2;4;F-
BISE13_c;ThLaq;Th18;3;1;F-
BISE13_c;ThLaq;Th18;3;2;F-
BISE13_c;ThLaq;Th18;3;3;F-
BISE13_c;ThLaq;Th18;3;4;F-
BISE13_d;ThLaq;Th18;4;1;F-
BISE13_d;ThLaq;Th18;4;2;F-
BISE13_d;ThLaq;Th18;4;3;F-
BISE13_d;ThLaq;Th18;4;4;F-
BISE14_a;ThLaq;Th20;1;1;F+
BISE14_a;ThLaq;Th20;1;2;F+
BISE14_a;ThLaq;Th20;1;3;F+
BISE14_a;ThLaq;Th20;1;4;F+
BISE14_b;ThLaq;Th20;2;1;F+
BISE14_b;ThLaq;Th20;2;2;F+
BISE14_b;ThLaq;Th20;2;3;F+
BISE14_b;ThLaq;Th20;2;4;F+
BISE14_c;ThLaq;Th20;3;1;F+
BISE14_c;ThLaq;Th20;3;2;F+
BISE14_c;ThLaq;Th20;3;3;F+
BISE14_c;ThLaq;Th20;3;4;F+
BISE14_d;ThLaq;Th20;4;1;F+
BISE14_d;ThLaq;Th20;4;2;F+
BISE14_d;ThLaq;Th20;4;3;F+
BISE14_d;ThLaq;Th20;4;4;F+
BISE15_a;ThLaq;Int;1;1;H+
BISE15_a;ThLaq;Int;1;2;H+
BISE15_a;ThLaq;Int;1;3;H+
BISE15_a;ThLaq;Int;1;4;H+
BISE15_b;ThLaq;Int;2;1;H+
BISE15_b;ThLaq;Int;2;2;H+
BISE15_b;ThLaq;Int;2;3;H+
BISE15_b;ThLaq;Int;2;4;H+
BISE15_c;ThLaq;Int;3;1;H+
BISE15_c;ThLaq;Int;3;2;H+
BISE15_c;ThLaq;Int;3;3;H+
BISE15_c;ThLaq;Int;3;4;H+
BISE15_d;ThLaq;Int;4;1;H+
BISE15_d;ThLaq;Int;4;2;H+
BISE15_d;ThLaq;Int;4;3;H+
BISE15_d;ThLaq;Int;4;4;H+
BISE16_a;ThLaq;Ext;1;1;H-
BISE16_a;ThLaq;Ext;1;2;H-
BISE16_a;ThLaq;Ext;1;3;H-
BISE16_a;ThLaq;Ext;1;4;H-
BISE16_b;ThLaq;Ext;2;1;H-
BISE16_b;ThLaq;Ext;2;2;H-
BISE16_b;ThLaq;Ext;2;3;H-
BISE16_b;ThLaq;Ext;2;4;H-
BISE16_c;ThLaq;Ext;3;1;H-
BISE16_c;ThLaq;Ext;3;2;H-
BISE16_c;ThLaq;Ext;3;3;H-
BISE16_c;ThLaq;Ext;3;4;H-
BISE16_d;ThLaq;Ext;4;1;H-
BISE16_d;ThLaq;Ext;4;2;H-
BISE16_d;ThLaq;Ext;4;3;H-
BISE16_d;ThLaq;Ext;4;4;H-
