"occurrenceId";"verbatimScientificName";"scientificName";"key";"matchType";"confidence";"status";"rank";"kingdom";"phylum";"class";"order";"family";"genus";"species"
NA;"Eudrilus";"Eudrilus Perrier, 1871";4410244;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Annelida";"Clitellata";"Crassiclitellata";"Eudrilidae";"Eudrilus";""
NA;"Eudrilidae";"Eudrilidae";4288888;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Annelida";"Clitellata";"Crassiclitellata";"Eudrilidae";"";""
NA;"Allolobophora chlorotica";"Allolobophora chlorotica (Savigny, 1826)";4410938;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Crassiclitellata";"Lumbricidae";"Allolobophora";"Allolobophora chlorotica"
NA;"Aporrectodea longa";"Aporrectodea longa (Ude, 1895)";2307757;"EXACT";98;"SYNONYM";"SPECIES";"Animalia";"Annelida";"Clitellata";"Crassiclitellata";"Lumbricidae";"Allolobophora";"Allolobophora longa"
NA;"Allolobophora";"Allolobophora Eisen, 1873";7995218;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Annelida";"Clitellata";"Crassiclitellata";"Lumbricidae";"Allolobophora";""
NA;"Aporrectodea caliginosa";"Aporrectodea caliginosa (Savigny, 1826)";2307759;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Crassiclitellata";"Lumbricidae";"Aporrectodea";"Aporrectodea caliginosa"
NA;"Aporrectodea rosea";"Aporrectodea rosea (Savigny, 1826)";2307760;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Crassiclitellata";"Lumbricidae";"Aporrectodea";"Aporrectodea rosea"
NA;"Aporrectodea";"Aporrectodea Orley, 1885";2307755;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Annelida";"Clitellata";"Crassiclitellata";"Lumbricidae";"Aporrectodea";""
NA;"Lumbricus castaneus";"Lumbricus castaneus (Savigny, 1826)";4410653;"EXACT";98;"SYNONYM";"SPECIES";"Animalia";"Annelida";"Clitellata";"Crassiclitellata";"Lumbricidae";"Enterion";"Enterion castaneum"
NA;"Octolasion cyaneum";"Octolasion cyaneum (Savigny, 1826)";2307766;"EXACT";98;"SYNONYM";"SPECIES";"Animalia";"Annelida";"Clitellata";"Crassiclitellata";"Lumbricidae";"Enterion";"Enterion cyaneum"
NA;"Lumbricus centralis";"Lumbricus centralis Bouché, 1972";7576647;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Crassiclitellata";"Lumbricidae";"Lumbricus";"Lumbricus centralis"
NA;"Eudrilus eugeniae";"Eudrilus eugeniae (Kinberg, 1867)";4410245;"EXACT";98;"SYNONYM";"SPECIES";"Animalia";"Annelida";"Clitellata";"Crassiclitellata";"Lumbricidae";"Lumbricus";"Lumbricus eugeniae"
NA;"Lumbricus friendi";"Lumbricus friendi Cognetti, 1904";8161409;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Crassiclitellata";"Lumbricidae";"Lumbricus";"Lumbricus friendi"
NA;"Lumbricus terrestris";"Lumbricus terrestris Linnaeus, 1758";4410657;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Crassiclitellata";"Lumbricidae";"Lumbricus";"Lumbricus terrestris"
NA;"Lumbricus";"Lumbricus Linnaeus, 1758";9806438;"EXACT";92;"ACCEPTED";"GENUS";"Animalia";"Annelida";"Clitellata";"Crassiclitellata";"Lumbricidae";"Lumbricus";""
NA;"Octolasion";"Octolasion Örley, 1885";2307763;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Annelida";"Clitellata";"Crassiclitellata";"Lumbricidae";"Octolasion";""
NA;"Satchellius mammalis";"Satchellius mammalis (de Savigny, 1826)";4410498;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Crassiclitellata";"Lumbricidae";"Satchellius";"Satchellius mammalis"
NA;"Satchellius";"Satchellius Gates, 1975";8844979;"EXACT";94;"ACCEPTED";"GENUS";"Animalia";"Annelida";"Clitellata";"Crassiclitellata";"Lumbricidae";"Satchellius";""
NA;"Lumbricidae";"Lumbricidae";6103;"EXACT";96;"ACCEPTED";"FAMILY";"Animalia";"Annelida";"Clitellata";"Crassiclitellata";"Lumbricidae";"";""
NA;"Achaeta affinis";"Achaeta affinis Nielsen & Christensen, 1959";8265293;"EXACT";98;"ACCEPTED";"SPECIES";"Animalia";"Annelida";"Clitellata";"Enchytraeida";"Enchytraeidae";"Achaeta";"Achaeta affinis"
