key;verbatimScientificName;scientificName;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species
3152707;Abelmoschus esculentus;Abelmoschus esculentus Moench;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Abelmoschus;Abelmoschus esculentus
5250615;Absidia glauca;Absidia glauca Hagem;EXACT;98;ACCEPTED;SPECIES;Fungi;Zygomycota;Mucoromycetes;Mucorales;Cunninghamellaceae;Absidia;Absidia glauca
2979775;Acacia mearnsii;Acacia mearnsii De Wild.;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia mearnsii
5415455;Acanthus mollis;Acanthus mollis L.;EXACT;97;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Lamiales;Acanthaceae;Acanthus;Acanthus mollis
7384897;Acaryophrya collaris;Acaryophrya collaris (Kahl, 1926) Dingfelder, 1962;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Gymnostomatea;Haptorida;Enchelyidae;Acaryophrya;Acaryophrya collaris
9221087;Achillea millefolium;Achillea millefolium Ledeb.;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium
7939212;Acineria uncinata;Acineria uncinata Tucolesco, 1962;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Gymnostomatea;Pleurostomatida;Litonotidae;Acineria;Acineria uncinata
7350821;Acineta flava;Acineta flava Kellicott, 1885;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Kinetofragminophora;Suctorida;Acinetidae;Acineta;Acineta flava
2283761;Acrobeles;Acrobeles Linstow, 1877;EXACT;94;ACCEPTED;GENUS;Animalia;Nematoda;Secernentea;Rhabditida;Cephalobidae;Acrobeles;
2283754;Acrobeloides;Acrobeloides Cobb, 1924;EXACT;94;ACCEPTED;GENUS;Animalia;Nematoda;Secernentea;Rhabditida;Cephalobidae;Acrobeloides;
7738789;Acropisthium mutabile;Acropisthium mutabile Perty, 1852;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Gymnostomatea;Haptorida;Acropisthiidae;Acropisthium;Acropisthium mutabile
8657939;Acrospermum gramineum;Acrospermum gramineum Lib.;EXACT;98;SYNONYM;SPECIES;Fungi;Ascomycota;Dothideomycetes;Acrospermales;Acrospermaceae;Acrospermum;Acrospermum graminum
3189694;Actinidia chinensis;Actinidia chinensis Planch.;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Ericales;Actinidiaceae;Actinidia;Actinidia chinensis
7465520;Actinobolina vorax;Actinobolina vorax (Wenrich, 1929) Kahl, 1930;EXACT;98;ACCEPTED;SPECIES;Chromista;Ciliophora;Gymnostomatea;Spathidiida;Actinobolinidae;Actinobolina;Actinobolina vorax
2077503;Acyrthosiphon pisum;Acyrthosiphon pisum (Harris & M., 1776);EXACT;98;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Hemiptera;Aphididae;Acyrthosiphon;Acyrthosiphon pisum
2077503;Acyrthosiphon pisum;Acyrthosiphon pisum (Harris & M., 1776);EXACT;98;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Hemiptera;Aphididae;Acyrthosiphon;Acyrthosiphon pisum
3034619;Aegopodium;Aegopodium L.;EXACT;94;ACCEPTED;GENUS;Plantae;Tracheophyta;Magnoliopsida;Apiales;Apiaceae;Aegopodium;
5401673;Ageratum conyzoides;Ageratum conyzoides L.;EXACT;97;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratum;Ageratum conyzoides
5401760;Ageratum houstonianum;Ageratum houstonianum Mill.;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Ageratum;Ageratum houstonianum
3001953;Agrimonia;Agrimonia L.;EXACT;94;ACCEPTED;GENUS;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Agrimonia;
3001959;Agrimonia pubescens;Agrimonia pubescens Wallr.;EXACT;98;ACCEPTED;SPECIES;Plantae;Tracheophyta;Magnoliopsida;Rosales;Rosaceae;Agrimonia;Agrimonia pubescens
1162125;Agriotes;Agriotes Eschscholtz, 1829;EXACT;94;ACCEPTED;GENUS;Animalia;Arthropoda;Insecta;Coleoptera;Elateridae;Agriotes;
