"key";"verbatimScientificName"
"7928292";"Amphisiella raptans"
"8181547";"Apoamphisiella tihanyiensis"
"8006704";"Bresslauides australis australis"
"7893724";"Cyrtohymena candens"
"7689024";"Dileptus margaritifer"
"8166778";"Frontonia depressa"
"8256548";"Hemiamphisiella granulifera"
"7858582";"Holosticha stueberi"
"7566514";"Lamtostyla abdita"
"7549436";"Lamtostyla granulifera"
"8016841";"Notohymena rubescens"
"8754583";"Oxytricha hengshanensis"
"7736897";"Oxytricha islandica"
"8024317";"Oxytricha tricirrata"
"7837768";"Parafurgasonia sorex"
"7761759";"Parakahliella macrostoma"
"7505865";"Paraurostyla granulifera"
"7538897";"Pseudouroleptus procerus"
"7501409";"Pseudourostyla franzi"
"8159328";"Spathidium longicaudatum"
"7695846";"Sterkiella cavicola"
"7815322";"Sterkiella histriomuscorum"
"7560112";"Tachysoma granulifera"
"7439614";"Tricoronella pulchra"
"8199022";"Uroleptus lepisma"
"7969533";"Urosomoida agilis"
"8298972";"Urosomoida antarctica"
"7717324";"Urosomoida dorsiincisura"
"7939212";"Acineria uncinata"
"6145343";"Amphisiella binucleata"
"8034554";"Amphisiella polycirrata"
"7405898";"Amphisiella vitiphila"
"7868482";"Australocirrus octonucleatus"
"8307655";"Australocirrus oscitans"
"7644213";"Australothrix alwinae"
"7520435";"Australothrix australis"
"8376435";"Australothrix steineri"
"8280112";"Bakuella edaphoni"
"7976171";"Bakuella pampinaria"
"7932878";"Birojimia muscorum"
"8076891";"Birojimia terricola"
"7771896";"Blepharisma americanum"
NA;"Bresslau a vorax"
"7348345";"Bresslaua insidiatrix"
"8022899";"Bryometopus atypicus"
"8222210";"Bryometopus hawaiiensis"
"7589411";"Bryometopus triquetrus"
"8312067";"Bursaria truncatella"
"7635899";"Colpoda atra"
"7754454";"Colpoda colpidiopsis"
"7364894";"Colpoda cucullus"
"7415565";"Colpoda magna"
"8225326";"Condylostoma terricola"
"8380259";"Coriplites terricola"
"7759386";"Cyrtobymena muscorum"
"7640810";"Cyrtohymena primicirrata"
"7968774";"Cyrtohymena tetracirrata"
"7646652";"Dileptus americanus"
"7907352";"Dileptus conspicuus"
"7542108";"Drepanomonas revoluta"
"8367055";"Gonostomum affine"
"7846057";"Gonostomum kuehnelti"
"7620672";"Halteria grandin"
"8227189";"Hemiamphisiella quadrinucleata"
"7515415";"Hemisincirra wenzeli"
"7770058";"Holosticha bergeri"
"7876308";"Holosticha distyla"
"7406837";"Holosticha manca"
"7879294";"Holosticha multistilata"
"7727825";"Jaroschia sumptuosa"
"7802550";"Kahliella simplex"
"7408216";"Keronopsis dieckmanni"
"7580283";"Kuehneltiella terricola"
"7712450";"Lamtostyla australis"
"8429924";"Lamtostyla islandica"
"7378359";"Lamtostyla kirkeniensis"
"8178931";"Leptopharynx costatus"
"7550194";"Metopus es"
"7583500";"Notohymena antarctica"
"8106520";"Odontochlamys alpestris"
"7625409";"Onychodromopsis flexilis"
"7892382";"Orthoamphisiella franzi"
"7545388";"Orthoamphisiella grelli"
"8307873";"Oxytricha auripunctata"
"8320870";"Oxytricha gigantea"
"8187489";"Oxytricha granulifera"
"8296495";"Oxytricha lanceolata"
"8282405";"Oxytricha longigranulosa"
"7514676";"Oxytricha nauplia"
"7687728";"Oxytricha opisthomuscorum"
"8311950";"Oxytricha ottowi"
"8111179";"Oxytricha setigera"
"7551954";"Paraholosticha muscicola"
"7454029";"Parakahliella haideri"
"7621887";"Paramphisiella caudata"
"8038938";"Pattersoniella vitiphila"
"7376082";"Pelagotrichidium tisiae"
"8144973";"Plagiocampa caudata"
"7510368";"Plagiocampa difficilis"
"7637408";"Platyophrya similis"
"8058651";"Platyophrya spumacola"
"7773649";"Pleuroplites australis"
"8322605";"Protospathidium muscicola"
"7776664";"Rhopalophrya elegans"
"6147376";"Spathidium scalpriforme"
"7426047";"Steinia platystoma"
"8412563";"Sterkiella thompsoni"
"7894445";"Stylonychia pustulata"
"8316594";"Stylonychia stylomuscorum"
"7965484";"Telostomatella ferroi"
"7907886";"Uroleptus notabilis"
"8283897";"Uronema nigricans"
"8196207";"Urosoma cienkowskii"
"7623590";"Urosoma karinae"
"4080";"Geophilidae"
"7429265";"Bicoronella costaricana"
"7918976";"Cyrtobymena citrina"
"7417909";"Cyrtohymena australis"
"8028830";"Dimacrocaryon amphileptoides"
"7981508";"Hemiamphisiella wilberti"
"7933468";"Holosticha adami"
"8287515";"Holosticha australis"
"7434181";"Holosticha muscorum"
"7402425";"Oxytricha rubripuncta"
"8191111";"Tachysoma humicola"
"8078166";"Blepharisma ouatum"
"7695293";"Chlamydonella alpestris"
"7481101";"Cinetochilum margaritaceum"
"7458170";"Eschaneustyla brachytona"
"8071411";"Gastrostyla minima"
"7918817";"Holosticha monilata"
"7787475";"Holosticha tetracirrata"
"8381802";"Lamtostyla lamottei"
"7434749";"Laurentiella strenua"
"3233877";"Linostoma vorticella"
"7683286";"Paraurostyla pulchra"
"8083931";"Rostrophrya camerounensis"
"7696840";"Urosoma acuminata"
"7384897";"Acaryophrya collaris"
"8053161";"Amphisiellides illuvialis"
"7535686";"Apocolpoda africana"
"8124979";"Archinassula muscicola"
"7721525";"Aspidisca cicada"
"7364238";"Aspidisca lynceus"
"8300719";"Avestina acuta"
"7385619";"Blepbarisma hyalinum"
"7806945";"Blepharisma bimicronucleatum"
"7811049";"Blepharisma lateritium"
"8013500";"Blepharisma steini"
"7463862";"Blepharisma undulans"
"8168047";"Brachonella cydonia"
"7790861";"Bryometopus balantidioides"
"7707464";"Bryometopus edaphonus"
"8034996";"Chilodonella uncinata"
"7409302";"Cinetochilum marinum"
"8242745";"Circinella arenicola"
"8181671";"Cirrophrya haptica"
"7579478";"Cladotricha australis"
"7584361";"Colpoda aspera"
"7971318";"Colpoda cavicola"
"7730407";"Colpoda ecaudata"
"7896164";"Colpoda edaphoni"
"8201322";"Colpoda elliotti"
"7750284";"Colpoda flavicans"
"8216798";"Colpoda henneguyi"
"7440329";"Colpoda lucida"
"7487223";"Colpoda maupasi"
"8341792";"Colpoda minima"
"8169579";"Colpoda orientalis"
"7817745";"Colpoda praestans"
"7874482";"Colpoda steinii"
"8271221";"Colpoda tripartita"
"7841800";"Colpoda variabilis"
"7554166";"Colpodidium caudatum"
"7800309";"Cosmocolpoda naschbergeri"
"7718580";"Cotburnia richtersi"
NA;"Cothumia minutissima"
NA;"Cothumiopsis valvata"
"8091632";"Cyclidium glaucoma"
"8358387";"Cyclidium muscicola"
"8050749";"Cyclidium terricola"
"7530738";"Cyrtolophosis acuta"
"8047474";"Cyrtolophosis colpidiformis"
"7961832";"Cyrtolophosis elongata"
"7458832";"Cyrtolophosis minor"
"8094171";"Cyrtolophosis mucicola"
"7376743";"Dapedophrya flexilis"
"8107698";"Deviata bacilliformis"
"7529454";"Dileptus orientalis"
"8360166";"Drepanomonas dentata"
"8279721";"Drepanomonas exigua"
"7470246";"Drepanomonas muscicola"
"8373930";"Drepanomonas pauciciliata"
"7973731";"Drepanomonas sphagni"
"7582540";"Engelmanniella mobilis"
"7549311";"Epistylis alpestris"
"8330241";"Erniella filiformis"
"7459106";"Euplotes corsica"
"7744469";"Euplotes finki"
"9808526";"Euplotes labiatus"
"7529940";"Euplotes muscicola"
"7542921";"Euplotes terricola"
"8423614";"Furgasonia trichocystis"
"7431306";"Gastronauta derouxi"
"8254475";"Gastronauta membranaceus"
"8118053";"Gonostomum strenua"
"7784583";"Halterioforma caudata"
"7350316";"Haplocaulus terrenus"
"7553903";"Hastatella radians"
"8078110";"Hausmanniella discoidea"
"8311170";"Hemisincirra gellerti"
"7479147";"Hemisincirra gracilis"
"7355433";"Hemisincirra inquieta"
"7399328";"Hemisincirra kahli"
"7611475";"Hemisincirra muelleri"
"8274582";"Hemisincirra pori"
"7403734";"Hemisincirra similis"
"8028953";"Holosticha islandica"
"7832910";"Holosticha muscicola"
"7979862";"Holosticha sigmoidea"
"7997569";"Holostichides terricola"
"7578575";"Holostichides wilberti"
"7653024";"Idiocolpoda pelobia"
"8163778";"Ilsiella palustris"
"7847506";"Ilsiella venusta"
"8167665";"Kahliella acrobates"
"7944009";"Kahlilembus attenuatus"
