consumer_tax_level;consumer;type;resource;resource_tax_level;reference;;;
species;Acrospermum gramineum;parasiteOf;Poaceae;family;GLoBi;;;
species;Acyrthosiphon pisum;parasiteOf;Fabaceae;family;https://bladmineerders.nl/parasites/animalia/arthropoda/insecta/hemiptera/sternorrhyncha/aphidoidea/aphididae/aphidinae/macrosiphini/acyrthosiphon/acyrthosiphon-pisum/;;;
genus;Amplimerlinius;parasiteOf;Angiosperma;phylum;NEMAGuild;;;
genus;Anoplophrya;parasiteOf;Enchtraeidae;family;https://www.jstor.org/stable/984805;;;
genus;Anoplophrya;parasiteOf;Lumbricidae;family;https://www.jstor.org/stable/984805;;;
genus;Aphanomyces;parasiteOf;Pisum;genus;FungalDataBase;;;
genus;Aphanomyces;parasiteOf;Trifolium;genus;FungalDataBase;;;
species;Aphidius ervi;parasiteOf;Acyrthosiphon pisum;species;https://www6.inra.fr/encyclopedie-pucerons/Especes/Parasitoides/Braconidae-Aphidiinae/Aphidius-ervi;;;
species;Aphidius ervi;parasiteOf;Aulacorthum solani;species;https://www6.inra.fr/encyclopedie-pucerons/Especes/Pucerons/Aulacorthum/A.-solani;;;
species;Aphidius ervi;parasiteOf;Myzus persicae;species;https://www6.inra.fr/encyclopedie-pucerons/Especes/Pucerons/Myzus/M.-persicae;;;
genus;Beauveria;parasiteOf;Arthropoda;phylum;doi.org/10.1016/j.aspen.2017.08.015;;;
genus;Cladosporium;parasiteOf;Angiosperma;phylum;NEMAGuild;;;
species;Cordyceps cylindrica;parasiteOf;Araneae;order;http://cordyceps.us/species/cordyceps/cylindrica;;;
species;Cordyceps memorabilis;parasiteOf;Lepidoptera;order;http://cordyceps.us/species/cordyceps/memorabilis;;;
genus;Cystobasidium;parasiteOf;Soil Organic Matter;NA;The Rasputin Effect: When Commensals and Symbionts Become Parasitic;;;
species;Entyloma ficariae;parasiteOf;Ranunculacae;family;https://bladmineerders.nl/parasites/fungi/basidiomycota/ustilaginomycotina/exobasidiomycetes/entylomatales/entyloma/entyloma-ficariae/;;;
species;Gaeumannomyces graminis;parasiteOf;Poaceae;family;;;;
genus;Helicotylenchus;parasiteOf;Angiosperma;phylum;NEMAGuild;;;
genus;Herpetomonas;parasiteOf;Calliphoridae;family;Animal Parasites: Their Life Cycles and Ecology;;;
genus;Herpetomonas;parasiteOf;Muscidae;family;Animal Parasites: Their Life Cycles and Ecology;;;
genus;Heterodera;parasiteOf;Angiosperma;phylum;NEMAGuild;;;
species;Hyphochytrium catenoides;parasiteOf;Aphanomyces;genus;10.3389/fmicb.2014.00244;;;
species;Hyphochytrium catenoides;parasiteOf;Pythium;genus;10.3389/fmicb.2014.00243;;;
genus;Itersonilia;parasiteOf;Angiosperma;phylum;Funguild;;;
species;Itersonilia perplexans;parasiteOf;Asteraceae;family;Funguild;;;
species;Leptosphaeria biglobosa;parasiteOf;Brassicaceae;family;Funguild;;;
genus;Longidorus;parasiteOf;Angiosperma;phylum;NEMAGuild;;;
genus;Magnaporthe;parasiteOf;Poaceae;family;Funguild;;;
genus;Meloidogyne;parasiteOf;Angiosperma;phylum;NEMAGuild;;;
genus;Merlinius;parasiteOf;Angiosperma;phylum;NEMAGuild;;;
genus;Metarhizium;parasiteOf;Arthropoda;phylum;Funguild;;;
species;Monocystis agilis;parasiteOf;Lumbricidae;family;Levine N.D. (1977) Revision and checklist of the species of the aseptate gregarine family Monocystidae. Folia Parasitologica 24, 1-24;;;
species;Olpidium bornovanus;parasiteOf;Cucurbitaceae;family;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Agropyron;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Agrostis;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Amaranthus;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Anethum;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Apium;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Arctium;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Avena;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Bidens;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Brassicaceae;family;Funguild;;;
species;Olpidium brassicae;parasiteOf;Bromus;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Carex;genus;FungalDataBase;;;
species;Olpidium brassicae;parasiteOf;Cucumis;genus;FungalDataBase;;;
