verbatimScientificName;scientificName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species
Eudrilus;Eudrilus Perrier, 1871;4410244;EXACT;94;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Crassiclitellata;Eudrilidae;Eudrilus;
Eudrilidae;Eudrilidae;4288888;EXACT;96;ACCEPTED;FAMILY;Animalia;Annelida;Clitellata;Crassiclitellata;Eudrilidae;;
Allolobophora chlorotica;Allolobophora chlorotica (Savigny, 1826);4410938;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Crassiclitellata;Lumbricidae;Allolobophora;Allolobophora chlorotica
Aporrectodea longa;Aporrectodea longa (Ude, 1895);2307757;EXACT;98;SYNONYM;SPECIES;Animalia;Annelida;Clitellata;Crassiclitellata;Lumbricidae;Allolobophora;Allolobophora longa
Allolobophora;Allolobophora Eisen, 1873;7995218;EXACT;94;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Crassiclitellata;Lumbricidae;Allolobophora;
Aporrectodea caliginosa;Aporrectodea caliginosa (Savigny, 1826);2307759;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Crassiclitellata;Lumbricidae;Aporrectodea;Aporrectodea caliginosa
Aporrectodea rosea;Aporrectodea rosea (Savigny, 1826);2307760;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Crassiclitellata;Lumbricidae;Aporrectodea;Aporrectodea rosea
Aporrectodea;Aporrectodea Orley, 1885;2307755;EXACT;94;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Crassiclitellata;Lumbricidae;Aporrectodea;
Lumbricus castaneus;Lumbricus castaneus (Savigny, 1826);4410653;EXACT;98;SYNONYM;SPECIES;Animalia;Annelida;Clitellata;Crassiclitellata;Lumbricidae;Enterion;Enterion castaneum
Octolasion cyaneum;Octolasion cyaneum (Savigny, 1826);2307766;EXACT;98;SYNONYM;SPECIES;Animalia;Annelida;Clitellata;Crassiclitellata;Lumbricidae;Enterion;Enterion cyaneum
Lumbricus centralis;Lumbricus centralis Bouché, 1972;7576647;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Crassiclitellata;Lumbricidae;Lumbricus;Lumbricus centralis
Eudrilus eugeniae;Eudrilus eugeniae (Kinberg, 1867);4410245;EXACT;98;SYNONYM;SPECIES;Animalia;Annelida;Clitellata;Crassiclitellata;Lumbricidae;Lumbricus;Lumbricus eugeniae
Lumbricus friendi;Lumbricus friendi Cognetti, 1904;8161409;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Crassiclitellata;Lumbricidae;Lumbricus;Lumbricus friendi
Lumbricus terrestris;Lumbricus terrestris Linnaeus, 1758;4410657;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Crassiclitellata;Lumbricidae;Lumbricus;Lumbricus terrestris
Lumbricus;Lumbricus Linnaeus, 1758;9806438;EXACT;92;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Crassiclitellata;Lumbricidae;Lumbricus;
Octolasion;Octolasion Örley, 1885;2307763;EXACT;94;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Crassiclitellata;Lumbricidae;Octolasion;
Satchellius mammalis;Satchellius mammalis (de Savigny, 1826);4410498;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Crassiclitellata;Lumbricidae;Satchellius;Satchellius mammalis
Satchellius;Satchellius Gates, 1975;8844979;EXACT;94;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Crassiclitellata;Lumbricidae;Satchellius;
Lumbricidae;Lumbricidae;6103;EXACT;96;ACCEPTED;FAMILY;Animalia;Annelida;Clitellata;Crassiclitellata;Lumbricidae;;
Achaeta affinis;Achaeta affinis Nielsen & Christensen, 1959;8265293;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Achaeta;Achaeta affinis
Achaeta bifollicula;Achaeta bifollicula Chalupsky, 1992;8391327;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Achaeta;Achaeta bifollicula
Achaeta unibulba;Achaeta unibulba Graefe, Dózsa-Farkas & Christensen, 2005;8750602;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Achaeta;Achaeta unibulba
Achaeta;Achaeta Vejdovsky, 1878;2308383;EXACT;92;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Achaeta;
Achaeta cf. bohemica PDW-2010;Achaeta bohemica (Vejdovsky, 1879);4409927;EXACT;98;SYNONYM;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Anachaeta;Anachaeta bohemica
Buchholzia fallax;Buchholzia fallax Michaelsen, 1887;5739693;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Buchholzia;Buchholzia fallax
Chamaedrilus aff. glandulosus A SM-2014;Chamaedrilus glandulosus (Michaelsen, 1888);9430745;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Chamaedrilus;Chamaedrilus glandulosus
Chamaedrilus aff. sphagnetorum C SM-2014;Chamaedrilus sphagnetorum (Vejdovský, 1878);8922158;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Chamaedrilus;Chamaedrilus sphagnetorum
Chamaedrilus;Chamaedrilus Friend, 1913;7575131;EXACT;94;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Chamaedrilus;
Chamaedrilus sp;Chamaedrilus Friend, 1913;7575131;HIGHERRANK;94;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Chamaedrilus;
Enchytraeus albidus;Enchytraeus albidus Henle, 1837;2308269;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Enchytraeus;Enchytraeus albidus
Enchytraeus buchholzi;Enchytraeus buchholzi Vejdovský, 1879;2308272;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Enchytraeus;Enchytraeus buchholzi
Enchytraeus bulbosus;Enchytraeus bulbosus Nielsen & Christensen, 1963;4409817;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Enchytraeus;Enchytraeus bulbosus
Enchytraeus christenseni;Enchytraeus christenseni Dózsa-Farkas, 1992;4307714;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Enchytraeus;Enchytraeus christenseni
Fridericia galba;Fridericia galba (Hoffmeister, 1843);4812535;EXACT;98;SYNONYM;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Enchytraeus;Enchytraeus galba
Enchytraeus lacteus;Enchytraeus lacteus Nielsen & Christensen, 1961;2308267;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Enchytraeus;Enchytraeus lacteus
Enchytraeus norvegicus;Enchytraeus norvegicus Abrahamsen, 1969;4409812;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Enchytraeus;Enchytraeus norvegicus
Enchytraeus;Enchytraeus Henle, 1837;2308266;EXACT;94;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Enchytraeus;
Enchytraeus sp;Enchytraeus Henle, 1837;2308266;HIGHERRANK;94;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Enchytraeus;
Enchytronia parva;Enchytronia parva Nielsen & Christensen, 1959;2308261;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Enchytronia;Enchytronia parva
Enchytronia;Enchytronia Nielsen & Christensen, 1959;2308260;EXACT;94;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Enchytronia;
Fridericia bisetosa;Fridericia bisetosa (Levinsen, 1884);4812533;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Fridericia;Fridericia bisetosa
Fridericia christeri;Fridericia christeri Rota & Healy, 1999;7369804;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Fridericia;Fridericia christeri
Fridericia connata;Fridericia connata Bretscher, 1902;8142015;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Fridericia;Fridericia connata
Fridericia isseli;Fridericia isseli Rota, 1994;7630327;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Fridericia;Fridericia isseli
Fridericia magna;Fridericia magna Friend, 1899;7618454;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Fridericia;Fridericia magna
Fridericia paroniana;Fridericia paroniana Issel, 1904;2308365;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Fridericia;Fridericia paroniana
Fridericia ratzeli;Fridericia ratzeli (Eisen, 1872);2308359;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Fridericia;Fridericia ratzeli
Fridericia sohlenii;Fridericia sohlenii Rota, Healy & Erséus, 1998;7441738;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Fridericia;Fridericia sohlenii
Fridericia sylvatica;Fridericia sylvatica Healy, 1979;9053167;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Fridericia;Fridericia sylvatica
Fridericia tuberosa;Fridericia tuberosa Rota, 1995;8876572;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Fridericia;Fridericia tuberosa
Henlea perpusilla;Henlea perpusilla Friend, 1911;2308382;EXACT;98;ACCEPTED;SPECIES;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Henlea;Henlea perpusilla
Henlea;Henlea Michaelsen, 1889;2308378;EXACT;92;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Henlea;
