occurrenceId;verbatimScientificName;scientificName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species
;Anaerolineae;Anaerolineae;298;EXACT;83;ACCEPTED;CLASS;Bacteria;Chloroflexi;Anaerolineae;;;;
;Bacillus;Bacillus Cohn, 1872;3227637;EXACT;96;ACCEPTED;GENUS;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;
;Bacteria;Bacteria;3;EXACT;96;ACCEPTED;KINGDOM;Bacteria;;;;;;
;Buchholzia;Buchholzia Michaelsen, 1886;2308273;EXACT;95;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Buchholzia;
;Caldilineae;Caldilineae;299;EXACT;83;ACCEPTED;CLASS;Bacteria;Chloroflexi;Caldilineae;;;;
;Campanella;Campanella Henn.;2512830;EXACT;96;ACCEPTED;GENUS;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Marasmiaceae;Campanella;
;Chondromyces;Chondromyces Berk. & M.A.Curtis;3220588;EXACT;96;ACCEPTED;GENUS;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Chondromyces;
;Ciliophora;Ciliophora;7765738;EXACT;96;ACCEPTED;PHYLUM;Chromista;Ciliophora;;;;;
;Coccomyxa;Coccomyxa Schmidle, 1901;2642071;EXACT;96;ACCEPTED;GENUS;Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Coccomyxaceae;Coccomyxa;
;Cryptococcus;Cryptococcus Kützing, 1833;2518146;EXACT;95;ACCEPTED;GENUS;Fungi;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae;Cryptococcus;
;Dehalococcoides;Dehalococcoides;6533843;EXACT;95;ACCEPTED;FAMILY;Bacteria;Chloroflexi;Dehalococcoidetes;;Dehalococcoides;;
;Ephemera;Ephemera Linnaeus, 1758;1407107;EXACT;95;ACCEPTED;GENUS;Animalia;Arthropoda;Insecta;Ephemeroptera;Ephemeridae;Ephemera;
;Frankia;Frankia Brunchorst, 1886;3225653;EXACT;96;ACCEPTED;GENUS;Bacteria;Actinobacteria;;Actinomycetales;Frankiaceae;Frankia;
;Fridericia;Fridericia Michaelsen, 1889;2308358;EXACT;95;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Fridericia;
;Fridericia sp;Fridericia Michaelsen, 1889;2308358;EXACT;80;ACCEPTED;GENUS;Animalia;Annelida;Clitellata;Enchytraeida;Enchytraeidae;Fridericia;
;Funaria;Funaria;2282796;EXACT;96;ACCEPTED;GENUS;Animalia;Nematoda;Adenophorea;Dorylaimida;Leptonchidae;Funaria;
;Genea;Genea (Dumort.) Dumort.;3232782;EXACT;96;SYNONYM;GENUS;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;Bromus;
;Gonostomum;Gonostomum;8289527;EXACT;96;ACCEPTED;GENUS;Chromista;Ciliophora;Hypotrichea;Oxytrichida;Oxytrichidae;Gonostomum;
;Heterococcus;Heterococcus Chodat, 1908;3200939;EXACT;96;ACCEPTED;GENUS;Chromista;Ochrophyta;Xanthophyceae;Tribonematales;Heteropediaceae;Heterococcus;
;Heteromita;Heteromita;4896482;EXACT;94;DOUBTFUL;GENUS;Chromista;Cercozoa;Sarcomonadea;Cercomonadida;Heteromitidae;Heteromita;
;Isotoma;Isotoma Bourlet, 1839;2120091;EXACT;95;ACCEPTED;GENUS;Animalia;Arthropoda;Entognatha;Collembola;Isotomidae;Isotoma;
;Lacrymaria;Lacrymaria Ehrenberg, 1830;7237887;EXACT;95;ACCEPTED;GENUS;Chromista;Ciliophora;Gymnostomatea;Spathidiida;Lacrymariidae;Lacrymaria;
;Meira;Meira Jacquelin du Val, 1853;1240769;EXACT;96;ACCEPTED;GENUS;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae;Meira;
;Microcoleus;Microcoleus Desmazières ex Gomont, 1892;3218437;EXACT;96;ACCEPTED;GENUS;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Oscillatoriaceae;Microcoleus;
;Microcoleus vaginatus;Microcoleus vaginatus (Vaucher) Gomont;5426932;EXACT;100;ACCEPTED;SPECIES;Bacteria;Cyanobacteria;Cyanophyceae;Nostocales;Oscillatoriaceae;Microcoleus;Microcoleus vaginatus
;Monocystis;Monocystis Ehrenberg, 1854;8324907;EXACT;95;ACCEPTED;GENUS;Chromista;Foraminifera;;;;Monocystis;
;Moorella;Moorella, 1994;6562811;EXACT;96;ACCEPTED;GENUS;Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Moorella;
;Nitzschia;Nitzschia A.H.Hassall, 1845;2628185;EXACT;96;ACCEPTED;GENUS;Chromista;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;
;Pandora;Pandora Humber;2559747;EXACT;96;ACCEPTED;GENUS;Fungi;Zygomycota;Entomophthoromycetes;Entomophthorales;Entomophthoraceae;Pandora;
;Paulinella;Paulinella Lauterborn, 1895;3212296;EXACT;96;ACCEPTED;GENUS;Chromista;Cercozoa;Imbricatea;Euglyphida;Paulinellideae;Paulinella;
