scientificName;id
Tetranychus urticae;2130185
Phoma herbarum;5262297
Aphidius ervi;1269085
Protomyces;2513144
Olpidium brassicae;2626969
Polymyxa graminis;3204289
Waitea circinata;5249953
Rhizoctonia solani;2555201
Amphisiella raptans;7928292
Apoamphisiella tihanyiensis;8181547
Bresslauides australis australis;8006704
Cyrtohymena candens;7893724
Dileptus margaritifer;7689024
Frontonia depressa;8166778
Hemiamphisiella granulifera;8256548
Holosticha stueberi;7858582
Lamtostyla abdita;7566514
Lamtostyla granulifera;7549436
Notohymena rubescens;8016841
Oxytricha hengshanensis;8754583
Oxytricha islandica;7736897
Oxytricha tricirrata;8024317
Parafurgasonia sorex;7837768
Parakahliella macrostoma;7761759
Paraurostyla granulifera;7505865
Pseudouroleptus procerus;7538897
Pseudourostyla franzi;7501409
Spathidium longicaudatum;8159328
Sterkiella cavicola;7695846
Sterkiella histriomuscorum;7815322
Tachysoma granulifera;7560112
Tricoronella pulchra;7439614
Uroleptus lepisma;8199022
Urosomoida agilis;7969533
Urosomoida antarctica;8298972
Urosomoida dorsiincisura;7717324
Aulacorthum solani;2076745
Elateridae;7825
Forficula;1419844
Itersonilia;2518115
Myzus persicae;2076179
Noctua;1789671
Otiorhynchus;1194803
Pythium;3202728
Hyphochytrium catenoides;3202687
Colpodea;8229102
Leptophryidae;NA
Nucleariidae;2329
Spirotrichea;7982209
Vampyrellidae;6586
Acineria uncinata;7939212
Amphisiella binucleata;6145343
Amphisiella polycirrata;8034554
Amphisiella vitiphila;7405898
Australocirrus octonucleatus;7868482
Australocirrus oscitans;8307655
Australothrix alwinae;7644213
Australothrix australis;7520435
Australothrix steineri;8376435
Bakuella edaphoni;8280112
Bakuella pampinaria;7976171
Birojimia muscorum;7932878
Birojimia terricola;8076891
Blepharisma americanum;7771896
Bresslau a vorax;NA
Bresslaua insidiatrix;7348345
Bryometopus atypicus;8022899
Bryometopus hawaiiensis;8222210
Bryometopus triquetrus;7589411
Bursaria truncatella;8312067
Colpoda atra;7635899
Colpoda colpidiopsis;7754454
Colpoda cucullus;7364894
Colpoda inflata;7559248
Colpoda magna;7415565
Condylostoma terricola;8225326
Coriplites terricola;8380259
Cyrtobymena muscorum;7759386
Cyrtohymena primicirrata;7640810
Cyrtohymena tetracirrata;7968774
Dileptus americanus;7646652
Dileptus conspicuus;7907352
Drepanomonas revoluta;7542108
Gonostomum affine;8367055
Gonostomum kuehnelti;7846057
Halteria grandin;7620672
Hemiamphisiella quadrinucleata;8227189
Hemiamphisiella terricola;7477764
Hemisincirra wenzeli;7515415
Holosticha bergeri;7770058
Holosticha distyla;7876308
Holosticha manca;7406837
Holosticha multistilata;7879294
Jaroschia sumptuosa;7727825
Kahliella simplex;7802550
Keronopsis dieckmanni;7408216
Kuehneltiella terricola;7580283
Lamtostyla australis;7712450
Lamtostyla islandica;8429924
Lamtostyla kirkeniensis;7378359
Leptopharynx costatus;8178931
Metopus es;7550194
Notohymena antarctica;7583500
Odontochlamys alpestris;8106520
