"";"labels"
"7707728";1
"2076745";2
"1419844";3
"2076179";2
"3202728";2
"2282747";4
"9572544";2
"4405791";5
"2282603";5
"2282607";5
"220";6
"7825";7
"1789671";7
"1194803";7
"2284001";7
"2283952";8
"2282644";9
"4405846";7
"3152707";1
"3152652";1
"3152047";1
"36";10
"3233877";11
"1370";1
"5386";6
"1162125";12
"1198599";13
"1181282";12
"2979775";1
"2945087";1
"2945106";1
"5353770";1
"2952882";1
"2960383";1
"8285917";1
"7799711";6
"2963414";1
"2942877";1
"8436786";1
"2961150";1
"5359660";1
"5356393";1
"2965200";1
"2965221";1
"9151957";1
"2971053";1
"2972595";1
"2947798";1
"5350438";1
"5350452";1
"2940361";6
"5347845";1
"2977636";1
"2973363";6
"5359378";1
"8324121";1
"5358748";1
"5359330";1
"5359334";1
"5359181";1
"2974751";1
"2974832";1
"2975014";1
"2982372";1
"2982508";6
"2982380";1
"2982583";1
"408";6
"5415455";1
"2497";1
"2927280";1
"3905670";1
"2927173";1
"2927173C1";1
"2927101";1
"2926981";1
"2927028";6
"8249932";1
"5608571";1
"2927229";1
"2927245";1
"9418333";1
"3737217";1
"3170886";1
"6651";1
"3170590";1
"2420";6
"5414992";1
"3189695";1
"3172047";6
"6652";1
"3172358";1
"7326001";1
"3683164";6
"3172622";1
"2925448";1
"2925463";1
"2925470";1
"414";6
"3065";6
"8011702";12
"2049366";12
"3119995";1
"9221087";6
"5401673";1
"5401760";1
"3094355";1
"8106066";1
"3120641";1
"3120957";1
"3122426";1
"3105856";1
"3092946";1
"8087525";1
"3128888";1
"3087725";1
"3150746";1
"3150814";1
"3118288";1
"3134162";1
"5392252";1
"3113650";1
"3098951";1
"5403296";1
"3093023";1
"5387142";1
"3101184";1
"3132570";1
"7466389";1
"8409932";1
"3119134";1
"9206251";6
"3109185";1
"3140231";1
"7403263";1
"3137422";1
"7639949";1
"8228544";1
"3088488";1
"8322495";1
"5394473";6
"5394163";1
"8801";6
"1353";6
"3189694";1
"6699";1
"2891766";1
"2505";1
"2882481";1
"2882482";6
"2883026";1
"3189635";1
"3030169";1
"6674";1
"6708";1
"3032996";1
"7157705";1
"1351";1
"6720";6
"3034619";1
"3034182";1
"3034645";1
"5371808";1
"5371818";1
"5371743";1
"6027243";1
"5371742";1
"3034812";1
"3034509";1
"3034699";1
"3034714";1
"6027328";1
"3034807";1
"6026723";1
"6026760";6
"3034742";1
"3034682";1
"3034921";1
"3631293";1
"8181004";1
"3034830";1
"7318319";1
"3629113";1
"6027319";1
"3034906";1
"3640348";1
"3632589";1
"8351737";1
"691";6
"5015";1
"3001953";1
"3001959";1
"7890713";1
"4889932";1
"3029779";1
"3029912";1
"3001244";1
"3001509";1
"3020559";1
"3020791";1
"3021922";1
"7931731";1
"3022502";1
"8149923";1
"3021120";1
"5362573";1
"8395064";1
"3005039";1
"3003244";1
"2993094";1
"2990630";1
"5361880";1
"2984535";1
"6639";6
"7960979";1
"1354";1
"4688";6
"2876099";6
"2875967";1
"2499";6
"4205617";1
"422";1
"3064";1
"3085074";1
"8971274";1
"3760350";1
"2518";6
"5384500";1
"6363690";1
"2873815";1
"3085450";1
"3085444";6
"3085433";1
"6364299";1
"2873815C1";1
"2873815C2";1
"3085411";1
"3085413";1
"3085420";1
"3085251";1
"3085897";6
"3085667";6
"6719";1
"3083838";1
"2416";6
"2889418";1
"6391433";6
"6390748";6
"2889077";6
"2888863";6
"2888942";6
"8195144";1
"3084836";1
"412";1
"6701";1
"3169830";1
"3170190";6
"3169755";1
"7317019";1
"2916597";1
"9039392";1
"2913321";1
"2913556";1
"7226638";1
"6716";6
"5414239";1
"2891641";1
"399";1
"3033893";1
"2410";1
"3033512";1
"3033632";1
"3033687";1
"3033294";6
"2422";6
"2888437";1
"7226464";1
"2387";1
"8988077";1
"2928226";6
"7225535";1
"3112";6
"3045622";6
"5373276";1
"3047584";1
"3047621";6
"6636";6
"2874484";1
"7224005";1
"6634";6
"2874497";1
"2874621";1
"2874568";1
"2874570";1
"2874569";1
"7393329";1
"2874508";1
"2874612";1
"2984666";1
"3988113";1
"1176";1
"7717";6
"2932937";1
"2932944";1
"2928979";1
"2932923";1
"9608998";1
"2928756";1
"2928774";1
"2930137";1
"2930617";1
"2930262";1
"2928840";1
"2389";6
"2928390";1
"3679194";1
"3678635";1
"2928551";1
"2928538";1
"2928623";1
"933";6
"3190155";1
"3190171";1
"3190158";1
"3232972";1
"8190743";1
"3850472";1
"6657";6
"3169120";1
"1414";6
"4691";1
"3070106";1
"3066465";1
"3072953";1
"3060998";1
"3061039";1
"5380041";1
"2493";1
"2873855";6
"2378";1
"2874172";1
"6664";6
"6631";1
"5331181";1
"624";1
"4676";6
"9348640";1
"690";1
"6683";6
"3189394";1
"2986192";1
"2986097";1
"5372392";1
"640";1
"3925";6
"2684876";6
"8630017";6
"7606064";6
"5284884";6
"7606064C1";1
"5284802";1
"2684241";6
"5285604";1
"5285824";1
"2685796";1
"4863";1
"2684902";6
"2684168";1
"103017807";1
"1369";1
"3073";6
"2069580";12
"2705193";1
"2706653";1
"2706434";1
"2706490";1
"2706439";1
"2706435";1
"2705282";1
"2705290";1
"2703642";1
"2703670";1
"2703746";1
"6008507";6
"6109637";1
"2705307";1
"2705308";6
"2706649";1
"2704913C1";1
"2704913C2";1
"2704913C3";1
"4119612";1
"2706162";6
"2706050";1
"2706052";1
"2706056";1
"2706217";1
"2706241";1
"2703455";1
"4110287";1
"2703459";1
"2705144";1
"4122172";1
"2705081";1
"8100050";1
"2706150";1
"5289756";1
"2706001";1
"2704173";1
"2704179";1
"2704178";1
"8300875";1
"2705966";1
"5289698";1
"5289693";1
"2705180";6
"4108497";1
"2705181";1
"4105531";1
"2706388";1
"7795888";1
"2706402";1
"2705233";1
"2705049";1
"5290052";6
"2721893";1
"5353";1
"2701072";6
"1169";1
"2856126";1
"2857697";1
"2856681";1
"2777937";1
"2768885";1
"2747044";1
"7687";1
"2781171";1
"2781176";6
"7689";1
"2731882";1
"6109699";1
"2737019";1
"2759871";1
"7699";1
"2868827";1
"220C1";1
"246";6
"196";1
"R2";13
"7764311";14
"4378322";15
"7868482";16
"8307655";14
"7750523";11
"7957238C1";17
"7811049";18
"8078166";11
"8118209";19
"8006704";16
"8022899";18
"8222210";18
"8098413";20
"8108604";21
"8312067";22
"2164";15
"3235907";15
"7073563";17
"7481101";18
"8181671";23
"7971318";9
"7364894";18
"7415565";24
"7874482";9
"7841800";23
"8091632";18
"8107698";18
"7731136";11
"7689024";22
"8028830";8
"4905099C1";17
"7458170";14
"6584";17
"8166778";14
"8071411";18
"7436272";11
"8118053";18
"7620672";18
"2171";15
"8078110";16
"7737031";11
"8253072";8
"8227189";8
"8274582";18
"4900802";15
"7787475";16
"8167665";24
"7642388";11
"7948573";14
"7435552";25
"7788463";11
"7596749";11
"7712450";16
"4581";17
"7459052";11
"8699";17
"4579";17
"7743197";18
"8006472";17
"8754583";25
"8296495";18
"7514676";8
"7687728";18
"7402425";24
"7837768";8
"7461602";25
"7551954";14
"8369369";25
"8038938";14
"6585";17
"7739586";24
"8062664";18
"7637408";11
"8058651";16
"8072867";26
"8149010";14
"8255523";18
"7538897";11
"8069432";25
"8254606";9
"3236046";17
"9281454";17
"9797892";15
"7426047";11
"4920982C1";17
"8157265";17
"8412563";18
"8354794";18
"8008384";24
"7894445";24
"8316594";25
"7560112";8
"7866224";18
"4378164";15
"3235224";15
"7510309";24
"7696840";8
"7680285";27
"9397538";28
"7813028";18
"329";10
"8223403";10
"6342";29
"2641638";29
"5270951";30
"4682";13
"5271881";30
"8785";29
"2642071";10
"7429582";13
"6784783";13
"2642049";30
"8795";30
"2638548";13
"2638548C1";30
"2652440";30
"1347";13
"4679";13
"2639987";13
"2639987C1";30
"8816";30
"5271044";30
"5271044C1";30
"5271221";30
"631";29
"4695";29
"2639576";10
"195";13
"625";13
"4674";13
"2642861";13
"2642884";30
"332";13
"1359";13
"4852";30
"2638467";30
"2641076";30
"102979699";30
"2587614";30
"35";13
"327";13
"621";13
"4671";13
"2670791";13
"5280516";13
"617";13
"4651";13
"2680202";13
"4279461";13
"1333";13
"8736";13
