;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38;V39;V40;V41;V42;V43;V44;V45;V46;V47;V48;V49;V50
V1;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
V2;1;0.00E+00;0.00E+00;0.00E+00;0.00E+00;1;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0,00704225354022838;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
V3;1;0,499999845287542;0,186582427290188;0.00E+00;0.00E+00;1;0,199999951964012;0,0499999910377416;0.00E+00;1;0,00704225321364395;0,399999881308031;0,442013133210474;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0,0256407777152603;0,361313600750481;1;0,333333238297243;0.00E+00;0.00E+00;0.00E+00;1;0,499999848375034;0,0263157851810546;0,16666662794723;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
V4;1;0,499999884537532;0.00E+00;0,459713148627896;1;1;0,399999913068023;0,949999722096938;1;1;1;0.00E+00;0.00E+00;1;1;1;0,923076654171657;0,987012698779583;1;1;1;1;1;1;1;1;1;1;1;0.00E+00;1;0,333333251380573;1;1;0.00E+00;1;0,166666655113889;0,973683927705841;0.00E+00;1;1;1;0,153846131056808;1;1;1;1;1;1;1
V5;1;0,250000004927083;0.00E+00;1;1;1;0,399999975488002;0,0500000041627531;0,0555555600700658;1;0,00704225448476949;0.00E+00;0.00E+00;0.00E+00;0,249999995530163;0.00E+00;0,461538421224245;0,0454545424945258;0.00E+00;0.00E+00;0,499999976941664;0.00E+00;0.00E+00;0.00E+00;0,0619479061716969;0.00E+00;0.00E+00;0,473684168250405;0,666660317483053;0.00E+00;1;0,333333308961149;0.00E+00;0.00E+00;0.00E+00;1;0.00E+00;0,973684114601372;0.00E+00;1;1;1;0,923076828461343;1;1;0.00E+00;1;0.00E+00;0,199999958898582;1
V6;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
V7;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;1;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
V8;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0,0499999994176907;0.00E+00;0.00E+00;0.00E+00;0,349999978897378;0.00E+00;0.00E+00;0,00116346349887591;0.00E+00;0,44999998016041;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0,228947362750863;0.00E+00;0.00E+00;0.00E+00;0,0125000011997517;0.00E+00;0.00E+00;0.00E+00;1;0.00E+00;0,0355263141573093;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0,349999987937047
V9;0.00E+00;0,0138889019458714;0.00E+00;0,0555555955182069;0,0555555683848992;0,055555555318862;0.00E+00;0.00E+00;0.00E+00;0,22222221772731;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0,36111110004237;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0,0277778024743878;0.00E+00;0.00E+00;0.00E+00;0,000491650632522203;0.00E+00;0.00E+00;0,0701754395906223;0.00E+00;0.00E+00;0.00E+00;0,0185185226031415;0.00E+00;0.00E+00;0.00E+00;1;0.00E+00;0,0526315794029915;0.00E+00;0.00E+00;0,0555555751682289;0,055555555468493;0,0256410293204421;0,0555555582154432;1;0.00E+00;0.00E+00;0.00E+00;0,0111111107035288;0,333333324912364
V10;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0,0058173166592177;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
