Id;Label;rank;Cluster;kingdom;phylum;class;order;family
1000789;Adineta;GENUS;29;Animalia;Rotifera;Eurotatoria;Bdelloidea;Adinetidae
1000794;Adineta vaga;SPECIES;42;Animalia;Rotifera;Eurotatoria;Bdelloidea;Adinetidae
1001946;Trichocerca;GENUS;29;Animalia;Rotifera;Eurotatoria;Ploima;Trichocercidae
1002070;Trichocerca rattus;SPECIES;46;Chromista;Ciliophora;Hypotrichea;Oxytrichida;Oxytrichidae
1002811;Notholca;GENUS;29;Animalia;Rotifera;Eurotatoria;Ploima;Brachionidae
1002835;Notholca acuminata;SPECIES;42;Animalia;Rotifera;Eurotatoria;Ploima;Brachionidae
1013578;Cylindroiulus caeruleocinctus;SPECIES;13;Animalia;Arthropoda;Diplopoda;Julida;Julidae
1020585;Polydesmus coriaceus;SPECIES;13;Animalia;Arthropoda;Diplopoda;Polydesmida;Polydesmidae
102500684;Chthoniobacter;GENUS;47;Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae
102518259;Bacteroidetes Order II. Incertae sedis;ORDER;47;Bacteria;Bacteroidetes;Bacteroidetes;Bacteroidetes Order II. Incertae sedis;
102521455;Spartobacteria;CLASS;47;Bacteria;Verrucomicrobia;Spartobacteria;;
102522790;uncultured Acidobacterium UA3;GENUS;45;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae
102523866;Acidimicrobiia;CLASS;47;Bacteria;Actinobacteria;Acidimicrobiia;;
102529879;Labyrinthulomycetes;CLASS;29;Chromista;??;Labyrinthulomycetes;;
102558290;Nitrospira;GENUS;45;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae
102565918;Nakamurella;GENUS;45;Bacteria;Actinobacteria;Actinobacteria;nakamurellales;nakamurellaceae
102596019;Candidatus Microthrix;GENUS;47;Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Microthrixaceae
102599719;Roseiflexaceae;FAMILY;47;Bacteria;Chloroflexi;Chloroflexia;Chloroflexiales;Roseiflexaceae
102599793;Dehalococcoidia;CLASS;47;Bacteria;Chloroflexi;Dehalococcoidia;;
102698855;Clostridiales Family XVII. Incertae Sedis;FAMILY;31;Fungi;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XVII. Incertae Sedis
102704754;Gemmatimonadetes;PHYLUM;45;Bacteria;Gemmatimonatedes;;;
102710151;Nannocystaceae;FAMILY;47;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Nannocystinaceae
102710354;Nannocystis;GENUS;45;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Nannocystinaceae
102792892;Oscillatoriales;ORDER;47;Bacteria;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;
102793571;Propionibacteriales;ORDER;47;Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;
102979699;Nannochloris;GENUS;30;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae
103017807;Cupressales;ORDER;1;Plantae;Tracheophyta;Pinopsida;Cupressales;
103018377;Actinobacteria;PHYLUM;45;Bacteria;Actinobacteria;;;
103022487;Nitrospirae;PHYLUM;47;Bacteria;Nitrospirae;;;
103043167;Dehalococcoidales;ORDER;47;Bacteria;Chloroflexi;Dehalococcoidia;Dehalococcoidales;
103043168;Dehalococcoidaceae;FAMILY;47;Bacteria;Chloroflexi;Dehalococcoidia;Dehalococcoidales;Dehalococcoidaceae
103062177;Apusozoa;PHYLUM;29;Protozoa;Apusozoa;;;
103079544;Echinamoeba exundans;SPECIES;28;Protozoa;Amoebozoa;Lobosa;Amoebida;Echinamoebidae
1031;Saprolegniales;ORDER;29;Chromista;Oomycota;Peronosporea;Saprolegniales;
103144795;Myxogastria;GENUS;29;Protozoa;Amoebozoa;??;??;??
103144946;Catenulisporales;ORDER;47;Bacteria;Actinobacteria;Actinobacteria;Catenulisporales;
103180101;Planctomycetia;CLASS;47;Bacteria;Planctomycetes;Planctomycetia;;
103371097;Thermoleophilia;CLASS;47;Bacteria;Actinobacteria;Thermoleophilia;;
103422263;Silicofilosea;CLASS;29;Chromista;Rhizaria;Silicofilosea;;
103470042;Gregarinasina;CLASS;49;Chromista;Aplicomplexa;Gregarinasina;;
103483832;Nassulida;ORDER;29;Chromista;??;Nassophorea;Nassulida;
103483858;Nassulidae;FAMILY;29;Chromista;??;Nassophorea;Nassulida;Nassulidae
103488920;Sporadotrichida;ORDER;29;Chromista;??;Sporadotrichea;Sporadotrichida;
