TG1;TG2;type
Pathogen::Pythium_m;Bacterivorous::Nematode;parasitic
Pred3::Mesostigmata;Bacterivorous::Nematode;trophic
Pred3::Pseudosc;Bacterivorous::Nematode;trophic
Parasitic::Romanomermis;Coprophage::Insect;parasitic
Parasitic::Trypanosomatidae;Coprophage::Insect;parasitic
Parasitic::Entomopath;Coprophage::Insect;parasitic
Fungivorous::Astigmata;Coprotroph::Ascomycota;trophic
Fungivorous::Insect;Coprotroph::Ascomycota;trophic
Fungivorous::Nematode;Coprotroph::Ascomycota;trophic
Fungivorous::Protist;Coprotroph::Ascomycota;trophic
Non.selective::Forficulidae;Coprotroph::Ascomycota;trophic
Non.selective::Nematode;Coprotroph::Ascomycota;trophic
Non.selective::Uropoda;Coprotroph::Ascomycota;trophic
Parasitic::Cystobasidium;Coprotroph::Ascomycota;parasitic
Saprofungivore::Collembole;Coprotroph::Ascomycota;trophic
Fungivorous::Astigmata;Coprotroph::Basidiomycota;trophic
Fungivorous::Insect;Coprotroph::Basidiomycota;trophic
Fungivorous::Nematode;Coprotroph::Basidiomycota;trophic
Fungivorous::Protist;Coprotroph::Basidiomycota;trophic
Non.selective::Forficulidae;Coprotroph::Basidiomycota;trophic
Non.selective::Nematode;Coprotroph::Basidiomycota;trophic
Non.selective::Uropoda;Coprotroph::Basidiomycota;trophic
Saprofungivore::Collembole;Coprotroph::Basidiomycota;trophic
Bacterivorous::Nematode;Decomposers::Archae;trophic
Bacterivorous::Protist;Decomposers::Archae;trophic
Non.selective::Nematode;Decomposers::Archae;trophic
Bacterivorous::Nematode;Decomposers::Bacterie;trophic
Bacterivorous::Protist;Decomposers::Bacterie;trophic
Non.selective::Nematode;Decomposers::Bacterie;trophic
Phytophage::Algae;Decomposers::Bacterie;trophic
Pred1attach::Protist;Decomposers::Bacterie;trophic
Pred1free::Protist;Decomposers::Bacterie;trophic
Bacterivorous::Nematode;Unknown::Bacterie;trophic
Bacterivorous::Protist;Unknown::Bacterie;trophic
Non.selective::Nematode;Unknown::Bacterie;trophic
Phytophage::Algae;Unknown::Bacterie;trophic
Pred1attach::Protist;Unknown::Bacterie;trophic
Pred1free::Protist;Unknown::Bacterie;trophic
Bacterivorous::Nematode;Miners::Bacterie;trophic
Bacterivorous::Protist;Miners::Bacterie;trophic
Non.selective::Nematode;Miners::Bacterie;trophic
Phytophage::Algae;Miners::Bacterie;trophic
Pred1attach::Protist;Miners::Bacterie;trophic
Pred1free::Protist;Miners::Bacterie;trophic
Bacterivorous::Nematode;Opportunists::Bacterie;trophic
Bacterivorous::Protist;Opportunists::Bacterie;trophic
Non.selective::Nematode;Opportunists::Bacterie;trophic
Phytophage::Algae;Opportunists::Bacterie;trophic
Pred1attach::Protist;Opportunists::Bacterie;trophic
Pred1free::Protist;Opportunists::Bacterie;trophic
Pred3::Mesostigmata;Fungivorous::Astigmata;trophic
Pred3::Pseudosc;Fungivorous::Astigmata;trophic
Pred4::Chilopode;Fungivorous::Astigmata;trophic
Pred4::Robertus;Fungivorous::Astigmata;trophic
Parasitic::Entomopath;Fungivorous::Astigmata;parasitic
Parasitic::Entomopath;Fungivorous::Insect;parasitic
Pathogen::Pythium_m;Fungivorous::Nematode;parasitic
Pred3::Mesostigmata;Fungivorous::Nematode;trophic
Pred3::Nematode;Fungivorous::Nematode;trophic
Pred3::Pseudosc;Fungivorous::Nematode;trophic
Pred4::Robertus;Fungivorous::Nematode;trophic
Parasitic::Anoplophrya;Geophageous::Lumb;parasitic
Parasitic::Glossiphoniidae;Geophageous::Lumb;parasitic
Parasitic::Monocystis;Geophageous::Lumb;parasitic
Fungivorous::Astigmata;Lignotroph::Fungi;trophic
Fungivorous::Insect;Lignotroph::Fungi;trophic
Fungivorous::Nematode;Lignotroph::Fungi;trophic
Fungivorous::Protist;Lignotroph::Fungi;trophic
Non.selective::Forficulidae;Lignotroph::Fungi;trophic
Non.selective::Nematode;Lignotroph::Fungi;trophic
Non.selective::Uropoda;Lignotroph::Fungi;trophic
Saprofungivore::Collembole;Lignotroph::Fungi;trophic
Parasitic::Gliricola;Mammifere;parasitic
Non.selective::Forficulidae;Non.selective::Endeostigmata;trophic
Pred3::Mesostigmata;Non.selective::Endeostigmata;trophic
Pred4::Robertus;Non.selective::Endeostigmata;trophic
Pred4::Robertus;Non.selective::Endeostigmata;trophic
Parasitic::Entomopath;Non.selective::Endeostigmata;parasitic
Parasitic::Entomopath;Non.selective::Forficulidae;parasitic
Parasitic::Romanomermis;Non.selective::Myrmica;parasitic
Parasitic::Trypanosomatidae;Non.selective::Myrmica;parasitic
Parasitic::Entomopath;Non.selective::Myrmica;parasitic
Pathogen::Pythium_m;Non.selective::Nematode;parasitic
Pred3::Mesostigmata;Non.selective::Nematode;trophic
