"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21"
"1";1e-06;1e-06;0,714285361397679;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0190476194637687;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"2";0,791666660470159;0,00362318871737556;0,645833014059264;1e-06;1e-06;1e-06;1e-06;1e-06;0,041666667467883;0,208333331544415;0,0416666665817732;1e-06;1e-06;1e-06;1e-06;1e-06;0,0416666666215875;1e-06;1e-06;1e-06;1e-06
"3";1e-06;1e-06;0,333332900130783;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,00555555324233754;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"4";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"5";1e-06;0,000603865042182238;1e-06;0,999999;1e-06;0,992753619777425;0,998682474966598;0,999999;0,999999;1e-06;1e-06;0,00011687714896569;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,00724637879909156;1e-06;1e-06
"6";0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"7";0,181818180810744;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;0,181818180575896;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06
"8";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06
"9";0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"10";0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"11";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"12";1e-06;0,995967739571345;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,967741925039088;1e-06;1e-06;1e-06;1e-06;0,000358423018535072;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"13";1e-06;0,083333333312464;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;0,0161290322439348;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"14";0,0761904790398277;0,00370370400570824;0,294444410299641;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,012626254984473;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"15";0,1260504193636;1e-06;0,132352960414646;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0117646988397982;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"16";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0194444452748262;0,965073525706913;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"17";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"18";1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,181818182960749;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"19";0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06
"20";1e-06;1e-06;1e-06;1e-06;0,123188400575861;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,903225765670082;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0812917591371345;1e-06
"21";1e-06;0,180555555426558;1e-06;1e-06;0,949275348031722;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,580645152572512;1e-06;0,0962962993445539;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06
