"";"labels"
"Acaridae";2
"Acetobacteraceae";5
"Acidiferrobacteraceae";5
"Acidimicrobiaceae";5
"Acidobacteriaceae";5
"Acidothermaceae";5
"Acropisthiidae";11
"Acrospermaceae";12
"Actinochloridaceae";14
"Actinomycetaceae";5
"Actinospicaceae";5
"Adinetidae";4
"Alaimidae";6
"Alcaligenaceae";5
"Alicorhagiidae";15
"Ambisporaceae";15
"Amphileptidae";11
"Amphisiellidae";11
"Anaerolineaceae";5
"Anaeromyxobacteraceae";5
"Anatonchidae";10
"Anguinidae";2
"Anoplophryidae";15
"Anystidae";1
"Aphelenchidae";2
"Aphelenchoididae";2
"Aphididae";16
"Apiaceae";17
"Apocynaceae";17
"Aporcelaimidae";10
"Apusomonadidae";7
"Aquifoliaceae";17
"Archaeorhizomycetaceae";12
"Archaeosporaceae";15
"Archangiaceae";5
"Ascobolaceae";12
"Aspergillaceae";12
"Asteraceae";17
"Aurantimonadaceae";5
"Bacillaceae";5
"Bacillariaceae";14
"Bacteriovoracaceae";5
"Bacteroidaceae";5
"Bardeliellidae";7
"Basidiobolaceae";12
"Bdellovibrionaceae";5
"Beijerinckiaceae";5
"Betulaceae";17
"Bicosoecidae";4
"Bionectriaceae";12
"Blepharismidae";4
"Bodonidae";7
"Bolbitiaceae";12
"Botryidiopsidaceae";14
"Botryochloridaceae";14
"Bovidae";16
"Brachionidae";4
"Brachychthoniidae";15
"Braconidae";15
"Bracteacoccaceae";14
"Bradyrhizobiaceae";5
"Brassicaceae";17
"Brucellaceae";5
"Bryometopidae";18
"Bulleraceae";12
"Bulleribasidiaceae";12
"Burkholderiaceae";5
"Caldilineaceae";5
"Campodeidae";15
"Carabidae";15
"Caricaceae";17
"Caryophyllaceae";17
"Catenariaceae";12
"Catenulisporaceae";5
"Caulerpaceae";14
"Caulobacteraceae";5
"Cellulomonadaceae";5
"Cellvibrionaceae";5
"Cenarchaeaceae";19
"Centritractaceae";14
"Cephalobidae";6
"Ceratobasidiaceae";15
"Cercomonadidae";7
"Chaetophoraceae";14
"Chaetosphaeriaceae";12
"Chilodonellidae";20
"Chitinophagaceae";5
"Chlamydomonadaceae";14
"Chlamydophryidae";20
"Chlorellaceae";14
"Chlorococcaceae";14
"Chloroflexaceae";5
"Chromatiaceae";5
"Chromulinaceae";8
"Chthoniidae";1
"Chthoniobacteraceae";5
"Chytridiaceae";12
"Cinetochilidae";4
"Cladosporiaceae";16
"Claroideoglomeraceae";15
"Clavariaceae";12
"Clavicipitaceae";3
"Clavulinaceae";12
"Clostridiaceae";5
"Clostridiales Family XVII. Incertae Sedis";5
"Colpodidae";7
"Comamonadaceae";5
"Conexibacteraceae";5
"Convolvulaceae";17
"Cordycipitaceae";3
"Corticiaceae";12
"Coxiellaceae";5
"Crocinitomicaceae";5
"Cryphonectriaceae";12
"Cryptococcaceae";12
"Cucurbitaceae";17
"Cucurbitariaceae";12
"Cunninghamellaceae";12
