"";"icl"
"1";-99019,2759809858
"2";-66055,4594544435
"3";-40945,0334572452
"4";-34943,6128504591
"5";-29164,2248377401
"6";-24841,6029993242
"7";-21620,6274405858
"8";-17544,4634345654
"9";-16746,7163390316
"10";-14535,0183804404
"11";-12863,0358596605
"12";-12366,2443786533
"13";-11797,1802737174
"14";-11052,3329511607
"15";-10226,9160273746
"16";-10073,9296145898
"17";-9854,77590304351
"18";-9315,46334957677
"19";-8699,14206734006
"20";-8519,30541865962
"21";-8124,82590362375
"22";-7928,87931240336
"23";-7848,96912312546
"24";-7867,86162167442
"25";-8010,93832323631
"26";-7989,28648991654
"27";-8103,60311798952
"28";-8349,79854519154
"29";-8446,02478669452
"30";-8678,41413465124
"31";-8949,02188085348
"32";-9188,10017481307
"33";-9480,84644258059
"34";-9800,64657133472
"35";-10116,3395764942
"36";-10471,660332506
"37";-10821,4513427617
"38";-11228,4426496405
"39";-11639,7012266431
"40";-12071,1295239023
"41";-12534,6091652565
"42";-13014,9602695856
"43";-13495,0307516575
"44";-13999,6687821985
"45";-14516,7295509344
"46";-15025,9130052077
"47";-15566,322109382
"48";-16116,7713212584
"49";-16668,707147435
"50";-17249,8896116139
