"";"x"
"1";"Acaridae"
"2";"Acetobacteraceae"
"3";"Acidiferrobacteraceae"
"4";"Acidimicrobiaceae"
"5";"Acidobacteriaceae"
"6";"Acidothermaceae"
"7";"Acropisthiidae"
"8";"Acrospermaceae"
"9";"Actinochloridaceae"
"10";"Actinomycetaceae"
"11";"Actinospicaceae"
"12";"Adinetidae"
"13";"Alaimidae"
"14";"Alcaligenaceae"
"15";"Alicorhagiidae"
"16";"Ambisporaceae"
"17";"Amphileptidae"
"18";"Amphisiellidae"
"19";"Anaerolineaceae"
"20";"Anaeromyxobacteraceae"
"21";"Anatonchidae"
"22";"Anguinidae"
"23";"Anoplophryidae"
"24";"Anystidae"
"25";"Aphelenchidae"
"26";"Aphelenchoididae"
"27";"Aphididae"
"28";"Apiaceae"
"29";"Apocynaceae"
"30";"Aporcelaimidae"
"31";"Apusomonadidae"
"32";"Aquifoliaceae"
"33";"Archaeorhizomycetaceae"
"34";"Archaeosporaceae"
"35";"Archangiaceae"
"36";"Ascobolaceae"
"37";"Aspergillaceae"
"38";"Asteraceae"
"39";"Aurantimonadaceae"
"40";"Bacillaceae"
"41";"Bacillariaceae"
"42";"Bacteriovoracaceae"
"43";"Bacteroidaceae"
"44";"Bardeliellidae"
"45";"Basidiobolaceae"
"46";"Bdellovibrionaceae"
"47";"Beijerinckiaceae"
"48";"Betulaceae"
"49";"Bicosoecidae"
"50";"Bionectriaceae"
"51";"Blepharismidae"
"52";"Bodonidae"
"53";"Bolbitiaceae"
"54";"Botryidiopsidaceae"
"55";"Botryochloridaceae"
"56";"Bovidae"
"57";"Brachionidae"
"58";"Brachychthoniidae"
"59";"Braconidae"
"60";"Bracteacoccaceae"
"61";"Bradyrhizobiaceae"
"62";"Brassicaceae"
"63";"Brucellaceae"
"64";"Bryometopidae"
"65";"Bulleraceae"
"66";"Bulleribasidiaceae"
"67";"Burkholderiaceae"
"68";"Caldilineaceae"
"69";"Campodeidae"
"70";"Carabidae"
"71";"Caricaceae"
"72";"Caryophyllaceae"
"73";"Catenariaceae"
"74";"Catenulisporaceae"
"75";"Caulerpaceae"
"76";"Caulobacteraceae"
"77";"Cellulomonadaceae"
"78";"Cellvibrionaceae"
"79";"Cenarchaeaceae"
"80";"Centritractaceae"
"81";"Cephalobidae"
"82";"Ceratobasidiaceae"
"83";"Cercomonadidae"
"84";"Chaetophoraceae"
"85";"Chaetosphaeriaceae"
"86";"Chilodonellidae"
"87";"Chitinophagaceae"
"88";"Chlamydomonadaceae"
"89";"Chlamydophryidae"
"90";"Chlorellaceae"
"91";"Chlorococcaceae"
"92";"Chloroflexaceae"
"93";"Chromatiaceae"
"94";"Chromulinaceae"
"95";"Chthoniidae"
"96";"Chthoniobacteraceae"
"97";"Chytridiaceae"
"98";"Cinetochilidae"
"99";"Cladosporiaceae"
"100";"Claroideoglomeraceae"
"101";"Clavariaceae"
"102";"Clavicipitaceae"
"103";"Clavulinaceae"
"104";"Clostridiaceae"
"105";"Clostridiales Family XVII. Incertae Sedis"
"106";"Colpodidae"
"107";"Comamonadaceae"
"108";"Conexibacteraceae"
"109";"Convolvulaceae"
"110";"Cordycipitaceae"
"111";"Corticiaceae"
"112";"Coxiellaceae"
"113";"Crocinitomicaceae"
"114";"Cryphonectriaceae"
"115";"Cryptococcaceae"
"116";"Cucurbitaceae"
"117";"Cucurbitariaceae"
"118";"Cunninghamellaceae"
"119";"Curculionidae"
"120";"Cyclidiidae"
"121";"Cyphellophoraceae"
"122";"Cyrtolophosididae"
"123";"Cystobasidiaceae"
"124";"Cytophagaceae"
"125";"Dacrymycetaceae"
"126";"Dehalococcoidaceae"
"127";"Demequinaceae"
"128";"Desulfobulbaceae"
"129";"Desulfovibrionaceae"
"130";"Desulfuromonadaceae"
"131";"Diadesmidaceae"
"132";"Dictyosporiaceae"
"133";"Didymellaceae"
"134";"Dileptidae"
"135";"Dinobryaceae"
"136";"Diplogasteroididae"
"137";"Dipodascaceae"
"138";"Diversisporaceae"
"139";"Dorylaimidae"
"140";"Echinamoebidae"
