"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17"
"1";1e-06;1e-06;0,0067920585068289;1e-06;1e-06;1e-06;0,111111110184571;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"2";0,993857488892545;1e-06;0,0397639017617224;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"3";1e-06;1e-06;0,0118952151759266;0,00478927214043561;0,00990883867910337;0,0919540224605964;0,224776498815454;0,0574712644633593;0,00113323620354018;1e-06;0,00870776765164328;1e-06;1e-06;0,034482758483519;0,0344827584082834;0,034482758497939;1e-06
"4";1e-06;1e-06;1e-06;0,0015873018653038;1e-06;0,0555555562214477;0,765432091418927;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0555555552935863;0,222222219541347;0,0555555553191336;1e-06
"5";1e-06;1e-06;0,000660589296582846;0,996168579781364;1e-06;0,954022977507737;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"6";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,444444436736435;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"7";1e-06;1e-06;0,0102171136196393;1e-06;1e-06;1e-06;0,291666662307287;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"8";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,444444439537672;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"9";1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;0,999999;1e-06;0,999999;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06
"10";1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;1e-06
"11";1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,0673400671516712;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,151515150566849;0,999999;0,999999;1e-06
"12";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;0,999999;1e-06
"13";1e-06;1e-06;0,011494252862389;0,0555555556145212;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06
"14";1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06
"15";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,444444436736435;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"16";1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06
"17";1e-06;1e-06;0,153256701696459;0,203703702355492;0,586206882498679;1e-06;1e-06;1e-06;0,953051620328863;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
