"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18"
"1";1e-06;1e-06;0,00388026600313709;1e-06;1e-06;1e-06;0,159090906135189;0,0636363618309594;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"2";0,993857488892545;1e-06;0,0421885300765076;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"3";1e-06;1e-06;0,00150557044080615;0,00508130094892436;0,0105130361997522;0,0975609754228567;0,182926826824792;0,237804868940777;0,0609756100907172;0,00120233597664803;1e-06;0,00923872912915808;1e-06;1e-06;0,036585365848074;0,0365853657682505;0,0365853658633734;1e-06
"4";1e-06;1e-06;1e-06;0,0015873018653038;1e-06;0,0555555562214477;0,861111094394696;0,344444430530458;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0555555552935863;0,222222219541347;0,0555555553191336;1e-06
"5";1e-06;1e-06;0,000700869133229901;0,996168579781364;1e-06;0,954022977507737;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"6";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"7";1e-06;1e-06;0,0182926820203032;1e-06;1e-06;1e-06;1e-06;0,374999985404933;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"8";1e-06;1e-06;0,00243902423817497;1e-06;1e-06;1e-06;1e-06;0,0666666833451465;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"9";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"10";1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;0,999999;1e-06;0,999999;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06
"11";1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;1e-06
"12";1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,15151514937443;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,151515150566849;0,999999;0,999999;1e-06
"13";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;0,999999;1e-06
"14";1e-06;1e-06;0,0121951219830525;0,0555555556145212;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06
"15";1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06
"16";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"17";1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06
"18";1e-06;1e-06;0,162601623119059;0,203703702355492;0,58620688249868;1e-06;1e-06;1e-06;1e-06;0,953051620328869;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
