"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"1";1e-06;1e-06;0,00746869352368596;1e-06;1e-06;1e-06;0,159090906135189;0,0727656416095178;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"2";0,993857488892546;1e-06;0,0437964880822493;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"3";1e-06;1e-06;0,0144146169754482;0,00527496776131976;0,0109137261622952;1e-06;0,151919065677016;0,293605800477397;1e-06;0,00124816136339635;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"4";1e-06;1e-06;1e-06;0,0015873018653038;1e-06;0,0555555562214477;0,861111094394696;0,687435085566183;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0555555552935864;0,222222219541347;0,0555555553191336;1e-06;1e-06
"5";1e-06;1e-06;0,0007275818006984;0,996168579781361;1e-06;0,954022977507737;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"6";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"7";1e-06;1e-06;0,0189898832840529;1e-06;1e-06;1e-06;1e-06;0,748417219366189;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"8";1e-06;1e-06;0,00505341676493199;1e-06;1e-06;1e-06;1e-06;0,298421120861924;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"9";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"10";1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;0,999999;1e-06;0,999999;0,999999;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"11";1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,999999;1e-06;1e-06;1e-06
"12";1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,15151514937443;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,151515150566849;0,999999;0,999999;1e-06;1e-06
"13";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;0,999999;1e-06;1e-06
"14";1e-06;1e-06;0,0126599223462187;0,0555555556145212;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"15";1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06
"16";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"17";1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06
"18";1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;0,374999991764062;1e-06;0,624999995680765;1e-06;1e-06;0,0946969722982652;1e-06;1e-06;0,374999995026278;0,37499999385677;0,374999995218229;1e-06;1e-06
"19";1e-06;1e-06;0,105499350937813;0,203703702355492;0,586206882498679;1e-06;1e-06;1e-06;1e-06;0,953051620328865;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,624999983745322;1e-06
