"";"labels"
"Abies";2
"Absidia";5
"Achaeta";3
"Achillea";2
"Acidimicrobium";12
"Acidisphaera";12
"Aciditerrimonas";12
"Acidobacterium";12
"Acidothermus";12
"Acidovorax";12
"Acinetobacter";12
"Acrobeles";11
"Acrobeloides";11
"Acrospermum";5
"Actinoallomurus";12
"Actinocatenispora";12
"Actinochloris";17
"Actinocrinis";12
"Actinomadura";12
"Actinomyces";12
"Actinoplanes";12
"Acyrthosiphon";3
"Adhaeribacter";12
"Adineta";13
"Aeromicrobium";12
"Aetherobacter";12
"Aggregicoccus";12
"Agriotes";1
"Agromyces";12
"Alaimus";11
"Alicorhagia";3
"Allolobophora";3
"Allovahlkampfia";14
"Alnus";2
"Altererythrobacter";12
"Ambispora";3
"Aminobacter";12
"Amphidelus";11
"Amphileptus";18
"Amphimallon";3
"Amplimerlinius";1
"Amycolatopsis";12
"Anaeromyxobacter";12
"Anatonchus";19
"Angustibacter";12
"Anoplophrya";3
"Anteholosticha";20
"Anystis";9
"Aphanomyces";3
"Aphelenchoides";4
"Aphelenchus";4
"Aphidius";3
"Aphis";3
"Aphodius";3
"Apiotrichum";5
"Aporcelaimellus";19
"Aporrectodea";3
"Apusomonas";15
"Aquihabitans";12
"Archaeorhizomyces";5
"Archaeospora";3
"Arcuospathidium";18
"Arenimonas";12
"Arthrobacter";12
"Articulospora";5
"Ascobolus";5
"Asterostroma";5
"Athous";1
"Aulacorthum";3
"Auxarthron";5
"Azospirillum";12
"Bacillus";12
"Bacteriovorax";12
"Bacteroides";12
"Bardeliella";15
"Barynotus";3
"Basidiobolus";5
"Basiria";1
"Bastiania";11
"Bdellovibrio";12
"Beauveria";10
"Bellilinea";12
"Bicosoeca";13
"Bisporella";5
"Blaberolaelaps";9
"Blastochloris";12
"Blastococcus";12
"Blepharisma";13
"Bodo";14
"Bodomorpha";15
"Bolbitius";5
"Boleodorus";1
"Bos";1
"Botryochloris";17
"Boudiera";5
"Brachyphoris";5
"Bracteacoccus";17
"Bradyrhizobium";12
"Bradysia";3
"Bresslaua";20
"Bresslauides";15
"Brevundimonas";12
"Bryometopus";20
"Bryometopus pseudochilodon";20
"Buchholzia";3
"Bullera";5
"Bumilleriopsis";17
"Burkholderia";12
"Byssovorax";12
"Caenimonas";12
"Caldilinea";12
"Calluna";2
"Camarophyllus";5
"Campanella";5
"Campodea";3
"Canavalia";2
"Candidatus Koribacter";12
"Candidatus Microthrix";12
"Candidatus Nephrothrix";12
"Candidatus Nitrosocosmicus";21
"Candidatus Solibacter";12
"Capsellina";22
"Cardamine";2
"Catellatospora";12
"Catenaria";5
"Catenulispora";12
"Caudiholosticha";20
"Caulerpa";17
"Caulobacter";12
"Cedrus";2
"Cellulomonas";12
"Cellvibrio";12
"Cenarchaeum";21
"Cephalobus";11
"Cephaloticoccus";12
"Cerastium";2
"Ceratophysella";6
"Cercomonas";15
"Cetraspora";3
"Chaetosphaeria";5
"Chamaedrilus";3
"Cheilymenia";5
"Chitinophaga";12
"Chlamydomonas";17
"Chlamydomyxa";16
"Chlorella";17
"Chlorellidium";17
"Chlorococcum";17
"Chloroflexus";12
"Choleva";6
"Chondromyces";12
"Chromosera";5
"Chryseobacterium";12
"Chthoniobacter";12
"Chthonius";9
"Chytridium";3
"Cladosporium";3
"Clarkus";19
"Claroideoglomus";3
"Clavibacter";12
"Clostridium";12
"Codosiga";13
"Coelastrella";17
"Colpoda";15
"Comamonas";12
"Conexibacter";12
"Conopodium";2
"Cordyceps";10
"Corythion";15
"Craterocolla";5
"Crocinitomix";12
"Cryphonectria";5
"Cryptococcus";5
"Cultellothrix";18
"Cupriavidus";12
"Curvibacter";12
"Cylindroiulus";3
"Cyphellophora";5
"Cystobacter";12
"Cystobasidium";3
"Cytophaga";12
"Dactylis";2
"Dactylosporangium";12
"Dechloromonas";12
"Dechlorospirillum";12
"Dehalococcoides";12
"Delftia";12
"Demequina";12
"Denitratisoma";12
"Derxia";12
"Desmodesmus";17
"Desulfitobacterium";12
"Desulfotalea";12
"Desulfovibrio";12
"Desulfovirga";12
"Desulfuromonas";12
"Devosia";12
"Diaphanoeca";13
"Diaphorobacter";12
"Dictyosporium";5
"Dileptus";18
"Dinobryon";17
"Dioszegia";5
"Diplogasteroides";19
"Discolaimus";7
"Dissophora";5
"Ditylenchus";4
"Diversispora";3
"Dokdonella";12
"Dongia";12
"Duganella";12
"Dyadobacter";12
"Dyella";12
"Echinamoeba";15
"Ecumenicus";7
"Edaphobacter";12
"Elusimicrobium";12
"Emticicia";12
"Enchytraeus";3
"Enchytronia";3
"Endochytrium";5
"Endogone";5
"Entomobrya";6
"Entyloma";3
"Eocercomonas";15
"Eosentomon";6
"Epipyxis";16
"Epispathidium";18
"Epistylis";13
"Erythrobacter";12
"Eucephalobus";11
"Euduboscquella";17
"Euglypha";15
"Eumonhystera";11
"Euplotes";20
"Fallopia";2
"Ferribacterium";12
"Ferrimicrobium";12
"Ferrithrix";12
"Ferruginibacter";12
"Fibrella";12
"Fibrobacter";12
"Filobasidium";5
"Fistulifera";17
"Flavisolibacter";12
"Flavobacterium";12
"Flexibacter";12
"Fluviicola";12
"Folsomia";6
"Forficula";8
"Frankia";12
"Fridericia";3
"Friesea";6
"Frigoribacterium";12
"Funneliformis";3
"Fuscheria";18
"Fusobacterium";12
"Gaeumannomyces";3
"Gaiella";12
"Geastrum";5
"Gemmata";12
"Gemmatimonas";12
"Geoalkalibacter";12
"Geobacter";12
"Geodermatophilus";12
"Georgfuchsia";12
"Geothermobacter";12
"Geothrix";12
"Gliricola";3
"Glomus";3
"Gongronella";5
"Gonostomum";20
"Granulicella";12
"Guepiniopsis";5
"Haliangium";12
"Haliea";12
"Haliscomenobacter";12
"Halteromyces";5
"Hantzschia";17
"Helianthus";2
"Helicotylenchus";1
"Hemiamphisiella";18
"Henlea";3
"Herbaspirillum";12
"Herminiimonas";12
"Herpetomonas";3
"Hesperelaea";2
"Heterococcus";17
"Heterodera";1
"Heteromita";15
"Heterophrys";15
"Hibberdia";17
"Histiostoma";6
"Hodophilus";5
"Holcus";2
"Holophaga";12
"Holwaya";5
"Homalogastra";13
"Humibacter";12
"Hyalorbilia";5
"Hydrocarboniphaga";12
"Hydrogenophaga";12
"Hygrocybe";5
"Hymenochaetopsis";5
"Hymenoscyphus";5
"Hyphochytrium";3
"Hyphodiscus";5
"Hyphodontia";5
"Hyphomicrobium";12
"Iamia";12
"Ignavibacterium";12
"Ilumatobacter";12
"Iodophanus";5
"Isolaimium";11
"Isosphaera";12
"Isotoma";6
"Isotomiella";6
"Itersonilia";1
"Ixiolirion";2
"Jaagiella";17
"Janibacter";12
"Janthinobacterium";12
"Jatrophihabitans";12
"Juncus";2
"Kangiella";12
"Kineococcus";12
"Kineosporia";12
"Klebsormidium";17
"Kofleria";12
"Kribbella";12
"Ktedonobacter";12
"Kutzneria";12
"Kuzuhaea";5
"Labrys";12
"Lacibacter";12
"Lacrymaria";13
"Lamproderma";15
