"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27"
"1";1e-06;1e-06;0,0073480969306413;1e-06;1e-06;1e-06;1e-06;1e-06;0,00207027244517372;0,159090906135189;0,0727272717201375;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0909090885816881;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"2";0,993857488892546;1e-06;0,0418722631914096;1e-06;1e-06;1e-06;1e-06;1e-06;0,0491013383862487;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"3";1e-06;1e-06;0,00976055400368062;1e-06;1e-06;0,00373810459982299;1e-06;0,194381417366802;1e-06;0,159477073145958;0,683934945013763;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,61554116031128;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"4";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,250000000794792;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,249999996825852;0,999999;0,249999996961458;1e-06;1e-06;1e-06;1e-06;1e-06
"5";1e-06;1e-06;1e-06;0,999999;1e-06;0,998231650079538;0,954022977507736;0,954022955647188;0,0013022332509358;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"6";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0384615378647963;1e-06;0,884615366796983;0,907692292499643;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"7";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,999999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"8";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,599999972551999;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"9";1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,0120814750050372;0,160365737629056;0,0473316128750757;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
"10";1e-06;1e-06;0,0485953551128779;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;0,749999977183749;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06;1e-06
