"";"x"
"1";"Abies"
"2";"Absidia"
"3";"Achaeta"
"4";"Achillea"
"5";"Acidimicrobium"
"6";"Acidisphaera"
"7";"Aciditerrimonas"
"8";"Acidobacterium"
"9";"Acidothermus"
"10";"Acidovorax"
"11";"Acinetobacter"
"12";"Acrobeles"
"13";"Acrobeloides"
"14";"Acrospermum"
"15";"Actinoallomurus"
"16";"Actinocatenispora"
"17";"Actinochloris"
"18";"Actinocrinis"
"19";"Actinomadura"
"20";"Actinomyces"
"21";"Actinoplanes"
"22";"Acyrthosiphon"
"23";"Adhaeribacter"
"24";"Adineta"
"25";"Aeromicrobium"
"26";"Aetherobacter"
"27";"Aggregicoccus"
"28";"Agriotes"
"29";"Agromyces"
"30";"Alaimus"
"31";"Alicorhagia"
"32";"Allolobophora"
"33";"Allovahlkampfia"
"34";"Alnus"
"35";"Altererythrobacter"
"36";"Ambispora"
"37";"Aminobacter"
"38";"Amphidelus"
"39";"Amphileptus"
"40";"Amphimallon"
"41";"Amplimerlinius"
"42";"Amycolatopsis"
"43";"Anaeromyxobacter"
"44";"Anatonchus"
"45";"Angustibacter"
"46";"Anoplophrya"
"47";"Anteholosticha"
"48";"Anystis"
"49";"Aphanomyces"
"50";"Aphelenchoides"
"51";"Aphelenchus"
"52";"Aphidius"
"53";"Aphis"
"54";"Aphodius"
"55";"Apiotrichum"
"56";"Aporcelaimellus"
"57";"Aporrectodea"
"58";"Apusomonas"
"59";"Aquihabitans"
"60";"Archaeorhizomyces"
"61";"Archaeospora"
"62";"Arcuospathidium"
"63";"Arenimonas"
"64";"Arthrobacter"
"65";"Articulospora"
"66";"Ascobolus"
"67";"Asterostroma"
"68";"Athous"
"69";"Aulacorthum"
"70";"Auxarthron"
"71";"Azospirillum"
"72";"Bacillus"
"73";"Bacteriovorax"
"74";"Bacteroides"
"75";"Bardeliella"
"76";"Barynotus"
"77";"Basidiobolus"
"78";"Basiria"
"79";"Bastiania"
"80";"Bdellovibrio"
"81";"Beauveria"
"82";"Bellilinea"
"83";"Bicosoeca"
"84";"Bisporella"
"85";"Blaberolaelaps"
"86";"Blastochloris"
"87";"Blastococcus"
"88";"Blepharisma"
"89";"Bodo"
"90";"Bodomorpha"
"91";"Bolbitius"
"92";"Boleodorus"
"93";"Bos"
"94";"Botryochloris"
"95";"Boudiera"
"96";"Brachyphoris"
"97";"Bracteacoccus"
"98";"Bradyrhizobium"
"99";"Bradysia"
"100";"Bresslaua"
"101";"Bresslauides"
"102";"Brevundimonas"
"103";"Bryometopus"
"104";"Bryometopus pseudochilodon"
"105";"Buchholzia"
"106";"Bullera"
"107";"Bumilleriopsis"
"108";"Burkholderia"
"109";"Byssovorax"
"110";"Caenimonas"
"111";"Caldilinea"
"112";"Calluna"
"113";"Camarophyllus"
"114";"Campanella"
"115";"Campodea"
"116";"Canavalia"
"117";"Candidatus Koribacter"
"118";"Candidatus Microthrix"
"119";"Candidatus Nephrothrix"
"120";"Candidatus Nitrosocosmicus"
"121";"Candidatus Solibacter"
"122";"Capsellina"
"123";"Cardamine"
"124";"Catellatospora"
"125";"Catenaria"
"126";"Catenulispora"
"127";"Caudiholosticha"
"128";"Caulerpa"
"129";"Caulobacter"
"130";"Cedrus"
"131";"Cellulomonas"
"132";"Cellvibrio"
"133";"Cenarchaeum"
"134";"Cephalobus"
"135";"Cephaloticoccus"
"136";"Cerastium"
"137";"Ceratophysella"
"138";"Cercomonas"
"139";"Cetraspora"
"140";"Chaetosphaeria"
"141";"Chamaedrilus"
"142";"Cheilymenia"
"143";"Chitinophaga"
"144";"Chlamydomonas"
"145";"Chlamydomyxa"
"146";"Chlorella"
"147";"Chlorellidium"
"148";"Chlorococcum"
"149";"Chloroflexus"
"150";"Choleva"
"151";"Chondromyces"
"152";"Chromosera"
"153";"Chryseobacterium"
"154";"Chthoniobacter"
"155";"Chthonius"
"156";"Chytridium"
"157";"Cladosporium"
"158";"Clarkus"
"159";"Claroideoglomus"
"160";"Clavibacter"
"161";"Clostridium"
"162";"Codosiga"
"163";"Coelastrella"
"164";"Colpoda"
"165";"Comamonas"
"166";"Conexibacter"
"167";"Conopodium"
"168";"Cordyceps"
"169";"Corythion"
"170";"Craterocolla"
"171";"Crocinitomix"
"172";"Cryphonectria"
"173";"Cryptococcus"
"174";"Cultellothrix"
"175";"Cupriavidus"
"176";"Curvibacter"
"177";"Cylindroiulus"
"178";"Cyphellophora"
"179";"Cystobacter"
"180";"Cystobasidium"
"181";"Cytophaga"
"182";"Dactylis"
"183";"Dactylosporangium"
"184";"Dechloromonas"
"185";"Dechlorospirillum"
"186";"Dehalococcoides"
"187";"Delftia"
"188";"Demequina"
"189";"Denitratisoma"
"190";"Derxia"
"191";"Desmodesmus"
"192";"Desulfitobacterium"
"193";"Desulfotalea"
"194";"Desulfovibrio"
"195";"Desulfovirga"
"196";"Desulfuromonas"
"197";"Devosia"
"198";"Diaphanoeca"
"199";"Diaphorobacter"
"200";"Dictyosporium"
"201";"Dileptus"
"202";"Dinobryon"
"203";"Dioszegia"
"204";"Diplogasteroides"
"205";"Discolaimus"
"206";"Dissophora"
"207";"Ditylenchus"
"208";"Diversispora"
"209";"Dokdonella"
"210";"Dongia"
"211";"Duganella"
"212";"Dyadobacter"
"213";"Dyella"
"214";"Echinamoeba"
"215";"Ecumenicus"
"216";"Edaphobacter"
"217";"Elusimicrobium"
"218";"Emticicia"
"219";"Enchytraeus"
"220";"Enchytronia"
"221";"Endochytrium"
"222";"Endogone"
"223";"Entomobrya"
"224";"Entyloma"
"225";"Eocercomonas"
"226";"Eosentomon"
"227";"Epipyxis"
"228";"Epispathidium"
"229";"Epistylis"
"230";"Erythrobacter"
"231";"Eucephalobus"
"232";"Euduboscquella"
"233";"Euglypha"
"234";"Eumonhystera"
"235";"Euplotes"
"236";"Fallopia"
"237";"Ferribacterium"
"238";"Ferrimicrobium"
"239";"Ferrithrix"
"240";"Ferruginibacter"
"241";"Fibrella"
"242";"Fibrobacter"
"243";"Filobasidium"
"244";"Fistulifera"
"245";"Flavisolibacter"
"246";"Flavobacterium"
"247";"Flexibacter"
"248";"Fluviicola"
"249";"Folsomia"
"250";"Forficula"
"251";"Frankia"
"252";"Fridericia"
"253";"Friesea"
"254";"Frigoribacterium"
"255";"Funneliformis"
"256";"Fuscheria"
"257";"Fusobacterium"
"258";"Gaeumannomyces"
"259";"Gaiella"
"260";"Geastrum"
"261";"Gemmata"
"262";"Gemmatimonas"
"263";"Geoalkalibacter"
"264";"Geobacter"
"265";"Geodermatophilus"
"266";"Georgfuchsia"
"267";"Geothermobacter"
"268";"Geothrix"
"269";"Gliricola"
"270";"Glomus"
"271";"Gongronella"
"272";"Gonostomum"
"273";"Granulicella"
"274";"Guepiniopsis"
"275";"Haliangium"
"276";"Haliea"
"277";"Haliscomenobacter"
"278";"Halteromyces"
"279";"Hantzschia"
"280";"Helianthus"
"281";"Helicotylenchus"
"282";"Hemiamphisiella"
"283";"Henlea"
"284";"Herbaspirillum"
"285";"Herminiimonas"
"286";"Herpetomonas"
"287";"Hesperelaea"
"288";"Heterococcus"
"289";"Heterodera"
"290";"Heteromita"
"291";"Heterophrys"
"292";"Hibberdia"
"293";"Histiostoma"
"294";"Hodophilus"
"295";"Holcus"
"296";"Holophaga"
"297";"Holwaya"
"298";"Homalogastra"
"299";"Humibacter"
"300";"Hyalorbilia"
"301";"Hydrocarboniphaga"
"302";"Hydrogenophaga"
"303";"Hygrocybe"
"304";"Hymenochaetopsis"
"305";"Hymenoscyphus"
"306";"Hyphochytrium"
"307";"Hyphodiscus"
"308";"Hyphodontia"
"309";"Hyphomicrobium"
"310";"Iamia"
"311";"Ignavibacterium"
"312";"Ilumatobacter"
"313";"Iodophanus"
"314";"Isolaimium"
"315";"Isosphaera"
"316";"Isotoma"
"317";"Isotomiella"
"318";"Itersonilia"
"319";"Ixiolirion"
"320";"Jaagiella"
"321";"Janibacter"
"322";"Janthinobacterium"
"323";"Jatrophihabitans"
"324";"Juncus"
"325";"Kangiella"
"326";"Kineococcus"
"327";"Kineosporia"
"328";"Klebsormidium"
"329";"Kofleria"
"330";"Kribbella"
"331";"Ktedonobacter"
"332";"Kutzneria"
"333";"Kuzuhaea"
"334";"Labrys"
"335";"Lacibacter"
"336";"Lacrymaria"
"337";"Lamproderma"
"338";"Legionella"
"339";"Leifsonia"
"340";"Lentzea"
"341";"Lepidocyrtus"
"342";"Leptomyxa"
"343";"Leptopharynx"
"344";"Leptosphaeria"
"345";"Levilinea"
"346";"Limonomyces"
"347";"Linum"
"348";"Liochthonius"
"349";"Lishizhenia"
"350";"Lithobius"
"351";"Lonchoptera"
"352";"Longidorus"
"353";"Longilinea"
"354";"Luedemannella"
"355";"Lumbricus"
