"";"labels"
"Absidia glauca";2
"Achaeta affinis";4
"Achaeta bifollicula";4
"Achaeta cf. bohemica PDW-2010";4
"Achaeta unibulba";4
"Achillea millefolium";4
"Acidobacterium sp. pan6";5
"Acrobeles sp.";3
"Acrospermum gramineum";2
"Actinochloris sp. BCP-LG3VF20";4
"Actinocrinis puniceicyclus";5
"Actinomadura sp. 1g12710";5
"Actinoplanes sp. IR51-RC111";5
"Acyrthosiphon pisum";4
"Adineta vaga";3
"Aeromicrobium panaciterrae";5
"Aeromicrobium sp. HJX17";5
"Aeromicrobium sp. RODSPM17";5
"Aggregicoccus edonensis";5
"Agriotes sordidus";4
"Allolobophora chlorotica";4
"Altererythrobacter buctense";5
"Altererythrobacter sp. 100921-2";5
"Ambispora fennica";4
"Ambispora gerdemannii";4
"Amphidelus cf. pusillus 9 Mile 3-17 LP-02";3
"Amphileptus sp. ZY-2014b";4
"Amphimallon solstitiale";4
"Amplimerlinius icarus";4
"Amycolatopsis tolypomycina";5
"Anatonchus tridentatus";4
"Angustibacter luteus";5
"Anoplophrya marylandensis";4
"Anteholosticha gracilis";4
"Anteholosticha monilata";4
"Anteholosticha rectangula";4
"Aphelenchoides sp. 2137";1
"Aphelenchus avenae";1
"Aphidius ervi";4
"Aphodius johnsoni";4
"Apiotrichum porosum";2
"Aporcelaimellus sp. 2010_050";4
"Aporrectodea caliginosa";4
"Aporrectodea longa";4
"Aporrectodea rosea";4
"Apusomonas proboscidea";3
"Aquihabitans daechungensis";5
"Archaeorhizomyces borealis";2
"Archaeorhizomyces finlayi";2
"Archaeospora sp. PODO7.3";4
"Archaeospora trappei";4
"Arcuospathidium namibiense";4
"Arenimonas daechungensis";5
"Arenimonas sp. HMF3017";5
"Articulospora proliferata";2
"Ascobolus stercorarius";2
"Asterostroma andinum";2
"Aulacorthum solani";4
"Azospirillum sp. T2-YC6788";5
"Bacteriovorax sp. PNEc1";5
"Bardeliella pulchra";3
"Barynotus moerens";4
"Barynotus obscurus";4
"Bastiania gracilis";3
"Bdellovibrio exovorus";5
"Bicosoeca petiolata";3
"Bisporella citrina";2
"Blaberolaelaps sp. APGD-2010";4
"Blastococcus sp. URHB0062";5
"Blastococcus sp. URHD0003";5
"Blepharisma hyalinum";3
"Bodomorpha sp. HFCC56";3
"Bodomorpha sp. HFCC57";3
"Bolbitius vitellinus";2
"Boleodorus volutus";4
"Bos taurus";4
"Botryochloris sp. SiM-2003";4
"Boudiera acanthospora";2
"Brachyphoris oviparasitica";2
"Bradyrhizobium sp. Shinshu-th2";5
"Bradyrhizobium sp. URHC0015";5
"Bradysia subrufescens";4
"Bresslaua vorax";4
"Bresslauides discoideus";3
"Bryometopus pseudochilodon";4
"Bryometopus sphagni";4
"Buchholzia fallax";4
"Burkholderia cepacia";5
"Caenimonas sp. TSX9-5";5
"Calluna vulgaris";4
"Campanella subdendrophora";2
"Campodea fragilis";4
"Canavalia ensiformis";4
"Candidatus Koribacter versatilis";5
"Candidatus Nitrososphaera gargensis";4
"Candidatus Solibacter usitatus";5
"Capsellina sp. ATCC 50039";4
"Catellatospora sp. KC-EP-S6";5
"Catenulispora graminis";5
"Caudiholosticha sp. Zlv-2015";4
"Caudiholosticha sylvatica";4
"Caulerpa cupressoides";4
"Caulobacter fusiformis";5
"Caulobacter profundus";5
"Cenarchaeum symbiosum";4
"Cephalobus persegnis";3
"Cerastium arcticum";4
"Ceratophysella sp. FZ-2014";1
"Cercomonas alexieffi";3
"Cercomonas braziliensis";3
"Cercomonas celer";3
"Cercomonas fastiga";3
"Cercomonas media";3
"Cercomonas parambigua";3
"Cercomonas parincurva";3
"Cercomonas radiata";3
"Cercomonas rapida";3
"Cercomonas sp. ATCC 50367";3
"Cercomonas sp. HFCC 905";3
"Cercomonas vacuolata";3
"Cetraspora nodosa";4
"Chaetosphaeria ciliata";2
"Chamaedrilus aff. glandulosus A SM-2014";4
"Chamaedrilus aff. sphagnetorum C SM-2014";4
"Cheilymenia stercorea";2
"Chitinophaga oryziterrae";5
"Chitinophaga pinensis";5
"Chitinophaga sp. BN130233";5
"Chlamydomonas philotes";4
"Chlamydomonas reinhardtii";4
"Chlamydomyxa labyrinthuloides";3
"Chlorella emersonii";4
"Chlorellidium tetrabotrys";4
"Choleva angustata";1
"Chthoniobacter flavus";5
"Chthonius sp. 2 JM-2008";4
"Chytridium polysiphoniae";4
"Cladosporium sp. CB-20";4
"Claroideoglomus claroideum";4
"Coelastrella saipanensis";4
"Colpoda inflata";3
"Colpoda sp. MD-2011";3
