"";"x"
"1";"Absidia glauca"
"2";"Achaeta affinis"
"3";"Achaeta bifollicula"
"4";"Achaeta cf. bohemica PDW-2010"
"5";"Achaeta unibulba"
"6";"Achillea millefolium"
"7";"Acidobacterium sp. pan6"
"8";"Acrobeles sp."
"9";"Acrospermum gramineum"
"10";"Actinochloris sp. BCP-LG3VF20"
"11";"Actinocrinis puniceicyclus"
"12";"Actinomadura sp. 1g12710"
"13";"Actinoplanes sp. IR51-RC111"
"14";"Acyrthosiphon pisum"
"15";"Adineta vaga"
"16";"Aeromicrobium panaciterrae"
"17";"Aeromicrobium sp. HJX17"
"18";"Aeromicrobium sp. RODSPM17"
"19";"Aggregicoccus edonensis"
"20";"Agriotes sordidus"
"21";"Allolobophora chlorotica"
"22";"Altererythrobacter buctense"
"23";"Altererythrobacter sp. 100921-2"
"24";"Ambispora fennica"
"25";"Ambispora gerdemannii"
"26";"Amphidelus cf. pusillus 9 Mile 3-17 LP-02"
"27";"Amphileptus sp. ZY-2014b"
"28";"Amphimallon solstitiale"
"29";"Amplimerlinius icarus"
"30";"Amycolatopsis tolypomycina"
"31";"Anatonchus tridentatus"
"32";"Angustibacter luteus"
"33";"Anoplophrya marylandensis"
"34";"Anteholosticha gracilis"
"35";"Anteholosticha monilata"
"36";"Anteholosticha rectangula"
"37";"Aphelenchoides sp. 2137"
"38";"Aphelenchus avenae"
"39";"Aphidius ervi"
"40";"Aphodius johnsoni"
"41";"Apiotrichum porosum"
"42";"Aporcelaimellus sp. 2010_050"
"43";"Aporrectodea caliginosa"
"44";"Aporrectodea longa"
"45";"Aporrectodea rosea"
"46";"Apusomonas proboscidea"
"47";"Aquihabitans daechungensis"
"48";"Archaeorhizomyces borealis"
"49";"Archaeorhizomyces finlayi"
"50";"Archaeospora sp. PODO7.3"
"51";"Archaeospora trappei"
"52";"Arcuospathidium namibiense"
"53";"Arenimonas daechungensis"
"54";"Arenimonas sp. HMF3017"
"55";"Articulospora proliferata"
"56";"Ascobolus stercorarius"
"57";"Asterostroma andinum"
"58";"Aulacorthum solani"
"59";"Azospirillum sp. T2-YC6788"
"60";"Bacteriovorax sp. PNEc1"
"61";"Bardeliella pulchra"
"62";"Barynotus moerens"
"63";"Barynotus obscurus"
"64";"Bastiania gracilis"
"65";"Bdellovibrio exovorus"
"66";"Bicosoeca petiolata"
"67";"Bisporella citrina"
"68";"Blaberolaelaps sp. APGD-2010"
"69";"Blastococcus sp. URHB0062"
"70";"Blastococcus sp. URHD0003"
"71";"Blepharisma hyalinum"
"72";"Bodomorpha sp. HFCC56"
"73";"Bodomorpha sp. HFCC57"
"74";"Bolbitius vitellinus"
"75";"Boleodorus volutus"
"76";"Bos taurus"
"77";"Botryochloris sp. SiM-2003"
"78";"Boudiera acanthospora"
"79";"Brachyphoris oviparasitica"
"80";"Bradyrhizobium sp. Shinshu-th2"
"81";"Bradyrhizobium sp. URHC0015"
"82";"Bradysia subrufescens"
"83";"Bresslaua vorax"
"84";"Bresslauides discoideus"
"85";"Bryometopus pseudochilodon"
"86";"Bryometopus sphagni"
"87";"Buchholzia fallax"
"88";"Burkholderia cepacia"
"89";"Caenimonas sp. TSX9-5"
"90";"Calluna vulgaris"
"91";"Campanella subdendrophora"
"92";"Campodea fragilis"
"93";"Canavalia ensiformis"
"94";"Candidatus Koribacter versatilis"
"95";"Candidatus Nitrososphaera gargensis"
"96";"Candidatus Solibacter usitatus"
"97";"Capsellina sp. ATCC 50039"
"98";"Catellatospora sp. KC-EP-S6"
"99";"Catenulispora graminis"
"100";"Caudiholosticha sp. Zlv-2015"
"101";"Caudiholosticha sylvatica"
"102";"Caulerpa cupressoides"
"103";"Caulobacter fusiformis"
"104";"Caulobacter profundus"
"105";"Cenarchaeum symbiosum"
"106";"Cephalobus persegnis"
"107";"Cerastium arcticum"
"108";"Ceratophysella sp. FZ-2014"
"109";"Cercomonas alexieffi"
"110";"Cercomonas braziliensis"
"111";"Cercomonas celer"
"112";"Cercomonas fastiga"
"113";"Cercomonas media"
"114";"Cercomonas parambigua"
"115";"Cercomonas parincurva"
"116";"Cercomonas radiata"
"117";"Cercomonas rapida"
"118";"Cercomonas sp. ATCC 50367"
"119";"Cercomonas sp. HFCC 905"
"120";"Cercomonas vacuolata"
"121";"Cetraspora nodosa"
"122";"Chaetosphaeria ciliata"
"123";"Chamaedrilus aff. glandulosus A SM-2014"
