"";"icl"
"1";-305991,993327847
"2";-178724,342648449
"3";-80987,4050763482
"4";-70178,8444070194
"5";-54624,8023781281
"6";-45195,7718223979
"7";-35110,4584422256
"8";-30687,6027172505
"9";-29748,2092961476
"10";-28637,5393696946
"11";-26977,6934548846
"12";-23694,3147032819
"13";-21111,8681516357
"14";-19569,076256713
"15";-17570,311640262
"16";-16341,1586813928
"17";-15371,2306010588
"18";-15127,3934612623
"19";-13941,9954771959
"20";-13530,7721368314
"21";-13074,6977207874
"22";-12285,1360615529
"23";-12297,1609504787
"24";-12256,9795436072
"25";-11935,5336398178
"26";-11833,9967004011
"27";-11593,2677179022
"28";-11779,7160559383
"29";-11617,1376870828
"30";-11848,0440643871
"31";-11814,1533209911
"32";-11975,2221720971
"33";-12097,9579179218
"34";-12344,4397457536
"35";-12699,8676134217
"36";-13043,8043275017
"37";-13319,0075602314
"38";-13658,4020200252
"39";-14043,9062562673
"40";-14478,6460033231
"41";-14916,0469498689
"42";-15408,9331870027
"43";-15862,0714821214
"44";-16386,8746811976
"45";-16937,5602359339
"46";-17470,5468256746
"47";-17993,1893196392
"48";-18580,3768595762
"49";-19180,9237920189
"50";-19813,5583576331
