SPEC;LABEL
Abies;8
Absidia glauca;1
Achaeta;1
Achaeta affinis;1
Achaeta bifollicula;1
Achaeta cf. bohemica PDW-2010;1
Achillea millefolium;8
Acidobacterium;4
Acidobacterium sp. pan6;4
Acinetobacter;2
Acrobeles sp.;6
Acrobeloides;6
Acrospermum;1
Acrospermum gramineum;1
Actinochloris sp. BCP-LG3VF20;4
Actinocrinis puniceicyclus;2
Actinomadura sp. 1g12710;2
Actinoplanes;2
Actinoplanes sp. IR51-RC111;2
Acyrthosiphon pisum;3
Adhaeribacter;2
Adineta vaga;0
Aeromicrobium panaciterrae;2
Aeromicrobium sp. HJX17;2
Aeromicrobium sp. RODSPM17;2
Aetherobacter;2
Aggregicoccus edonensis;2
Agriotes;7
Agriotes sordidus;7
Agromyces;2
Alaimus;6
Alicorhagia;3
Allovahlkampfia;0
Alnus;8
Altererythrobacter;2
Altererythrobacter buctense;2
Altererythrobacter sp. 100921-2;2
Ambispora fennica;9
Amphidelus cf. pusillus 9 Mile 3-17 LP-02;6
Amphileptus sp. ZY-2014b;6
Amphimallon solstitiale;3
Amplimerlinius;7
Amplimerlinius icarus;7
Amycolatopsis tolypomycina;2
Anaeromyxobacter;2
Anatonchus tridentatus;6
Angustibacter luteus;2
Anoplophrya marylandensis;4
Anteholosticha;6
Anteholosticha gracilis;6
Anteholosticha monilata;6
Anteholosticha rectangula;6
Anystis;3
Aphanomyces;7
Aphelenchoides;5
Aphelenchoides sp. 2137;5
Aphelenchus;5
Aphelenchus avenae;5
Aphidius ervi;3
Aphis;3
Aphodius johnsoni;3
Apiotrichum;1
Apiotrichum porosum;1
Aporcelaimellus sp. 2010_050;6
Apusomonas proboscidea;0
Aquihabitans daechungensis;2
Archaeorhizomyces;1
Archaeorhizomyces borealis;1
Archaeorhizomyces finlayi;1
Archaeospora sp. PODO7.3;9
Archaeospora trappei;9
Arcuospathidium namibiense;6
Arenimonas;2
Arenimonas daechungensis;2
Arenimonas sp. HMF3017;2
Arthrobacter;2
Articulospora proliferata;1
Ascobolus;1
Ascobolus stercorarius;1
Asterostroma andinum;1
Athous;3
Aulacorthum solani;3
Auxarthron;1
Azospirillum sp. T2-YC6788;2
Bacillus;2
Bacteriovorax sp. PNEc1;2
Bardeliella pulchra;0
Barynotus moerens;3
Barynotus obscurus;3
Basidiobolus;1
Basiria;7
Bastiania;6
Bastiania gracilis;6
Bdellovibrio;2
Bdellovibrio exovorus;2
Beauveria;4
Bicosoeca petiolata;0
Bisporella citrina;1
Blaberolaelaps sp. APGD-2010;3
Blastococcus;2
Blastococcus sp. URHB0062;2
Blastococcus sp. URHD0003;2
Blepharisma;0
Blepharisma hyalinum;0
Bodo;0
Bodomorpha;0
Bodomorpha sp. HFCC56;0
Bodomorpha sp. HFCC57;0
Bolbitius vitellinus;1
Boleodorus volutus;7
Bos taurus;7
Botryochloris sp. SiM-2003;4
Boudiera acanthospora;1
Brachyphoris oviparasitica;1
Bracteacoccus;4
Bradyrhizobium;2
Bradyrhizobium sp. Shinshu-th2;2
Bradyrhizobium sp. URHC0015;2
Bradysia subrufescens;3
Bresslaua vorax;6
Bresslauides discoideus;0
Brevundimonas;2
Bryometopus pseudochilodon;6
Bryometopus sphagni;6
Buchholzia fallax;1
Bullera;1
Bumilleriopsis;4
Burkholderia;2
Burkholderia cepacia;2
Caenimonas sp. TSX9-5;2
Calluna vulgaris;8
Camarophyllus;1
Campanella subdendrophora;1
Campodea;3
Campodea fragilis;3
Canavalia ensiformis;8
Candidatus Koribacter versatilis;4
Candidatus Nitrosocosmicus;2
Candidatus Nitrososphaera gargensis;2
Candidatus Solibacter;4
Candidatus Solibacter usitatus;4
Capsellina sp. ATCC 50039;6
Cardamine;8
Catellatospora sp. KC-EP-S6;2
Catenaria;1
Catenulispora;2
Catenulispora graminis;2
Caudiholosticha sp. Zlv-2015;6
Caudiholosticha sylvatica;6
Caulerpa cupressoides;4
Caulobacter;2
Caulobacter fusiformis;2
Caulobacter profundus;2
Cedrus;8
Cellulomonas;2
Cellvibrio;2
Cenarchaeum symbiosum;2
Cephalobus persegnis;6
Cephaloticoccus;2
Cerastium arcticum;8
Ceratophysella sp. FZ-2014;5
Cercomonas;0
Cercomonas alexieffi;0
Cercomonas braziliensis;0
Cercomonas celer;0
Cercomonas fastiga;0
Cercomonas media;0
Cercomonas parambigua;0
Cercomonas parincurva;0
Cercomonas radiata;0
Cercomonas rapida;0
Cercomonas sp. ATCC 50367;0
Cercomonas sp. HFCC 905;0
Cercomonas vacuolata;0
Cetraspora nodosa;9
Chaetosphaeria ciliata;1
Chamaedrilus aff. glandulosus A SM-2014;1
Cheilymenia stercorea;1
Chitinophaga;2
Chitinophaga oryziterrae;2
Chitinophaga pinensis;2
