;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36
1;0,000447894;2,96E-05;4,33E-05;0,000124721;0,00017482;3,03E-05;9,65E-06;3,86E-05;1,59E-05;2,96E-05;0,000100658;9,55E-05;0,000148142;1,17E-06;3,85E-05;1,01E-05;3,07E-06;0,000203211;1,46E-06;1,93E-06;4,91E-05;1,85E-05;2,85E-06;0,000215904;4,83E-05;4,86E-05;1,63E-08;2,43E-05;5,43E-06;1,88E-05;3,70E-05;6,66E-05;3,31E-05;3,91E-05;2,05E-05;4,01E-05
2;0,975602162;0,00827116;0,001056467;0,974822287;0,00722757;0,012131256;0,004977103;0,970352558;0,008188237;0,006302913;0,97284316;0,966044648;0,00301495;0,00492315;0,971878986;0,002546464;0,000629488;0,002850761;0,006123947;0,008099475;0,023105054;0,022910483;0,011956547;0,976044027;0,005222887;0,001201415;6,86E-05;0,002226625;0,022827096;0,002191251;0,00515095;0,023216237;0,006325283;0,008336174;0,008217825;0,006370025
3;0,000350276;2,40E-05;3,63E-05;0,000101408;0,000142143;2,46E-05;7,84E-06;3,14E-05;1,29E-05;2,40E-05;8,18E-05;7,77E-05;0,000120452;9,53E-07;3,13E-05;8,21E-06;2,49E-06;0,000165227;1,18E-06;1,57E-06;3,99E-05;1,51E-05;2,31E-06;0,000175548;3,92E-05;3,95E-05;1,33E-08;1,98E-05;4,42E-06;1,52E-05;3,00E-05;5,41E-05;2,69E-05;3,18E-05;1,67E-05;3,26E-05
4;0,994339699;0,00081024;0,000126344;0,000147543;0,000894298;0,001566052;0,000643192;0,000270555;0,001058168;0,00081024;0,000212364;0,000513289;0,000354473;0,000638287;0,000201958;0,000327804;8,09E-05;0,000319574;0,000793971;0,001050099;0,002984811;0,002967123;0,001550169;0,000168246;0,000665535;0,000143834;8,89E-06;0,000282809;0,002959543;0,000279593;0,000658996;0,002994918;0,000812274;0,001071616;0,001060857;0,000816341
5;0,002742461;0,000188243;0,000275482;0,000793971;0,001460432;0,000192821;6,14E-05;0,000245619;0,000101031;0,000188243;0,000640788;0,000608206;0,00094307;7,46E-06;0,000245332;6,43E-05;1,95E-05;0,001293636;9,28E-06;1,23E-05;0,000312537;0,000117966;1,81E-05;0,001374444;0,000307195;0,000309257;1,04E-07;0,000154744;3,46E-05;0,000119371;0,000235258;0,00042372;0,000210613;0,000248968;0,000130619;0,000255355
6;0,005688357;0,002493154;0,95027151;0,001743404;0,004298478;0,008283727;0,001828726;0,001144814;0,003008586;0,002493154;0,001664119;0,002414937;0,002561515;0,001723388;0,00096048;0,000988418;0,023423602;0,003067028;0,002143736;0,002835285;0,00853348;0,008153597;0,004185481;0,002799545;0,002308603;0,949954138;2,40E-05;0,001022369;0,00799079;0,000953304;0,935936822;0,874667009;0,699450251;0,003297421;0,003066353;0,699537605
7;0,002576679;0,002519257;0,000523904;0,000853548;0,959784386;0,004778209;0,002417784;0,000938552;0,003213017;0,002519257;0,00097525;0,001856327;0,001560492;0,001909612;0,000733598;0,00101292;0,000251905;0,001642978;0,002375383;0,003141659;0,00907773;0,008921312;0,004637757;0,980341446;0,002150577;0,000594108;2,66E-05;0,000926744;0,008854275;0,000898306;0,002092745;0,009167112;0,002537241;0,003331946;0,003236803;0,002573209
8;0,001015587;0,001060117;0,000214095;0,000339507;0,001349509;0,002015122;0,000824104;0,000422204;0,001355801;0,001060117;0,988070554;0,000768505;0,984815048;0,000807219;0,00030357;0,000426549;0,000105984;0,000659832;0,001004106;0,001328021;0,003829817;0,003768922;0,001960443;0,000484821;0,000901028;0,000242869;1,12E-05;0,000387676;0,003742824;0,000376605;0,000878514;0,003864614;0,001067119;0,001402102;0,001365061;0,001081122
9;0,968188665;0,003385226;0,000764923;0,001335207;0,004608169;0,00637833;0,002602515;0,001306415;0,006225029;0,003385226;0,001456904;0,002615468;0,002309978;0,002531157;0,001034885;0,001358167;0,000338676;0,002509612;0,003148527;0,004164213;0,891974627;0,011846458;0,006147262;0,968474877;0,002927587;0,035307061;3,53E-05;0,001267346;0,011736171;0,001220561;0,002832444;0,012250845;0,003414813;0,941061092;0,004320741;0,003473988
10;0,00322038;0,003230664;0,00066407;0,974542997;0,004155321;0,00613292;0,002507267;0,96939103;0,00412491;0,004239522;0,972246194;0,002365079;0,001973956;0,002453314;0,971183075;0,001299331;0,000323017;0,002068401;0,003051698;0,004036148;0,011653204;0,011458633;0,005958211;0,001540538;0,959274833;0,00075316;3,42E-05;0,001185631;0,011375246;0,001150258;0,002681115;0,011764387;0,003253035;0,004272846;0,004154497;0,003297776
