retained_tax;class
Ambispora fennica;0
Amplimerlinius;0
Amplimerlinius icarus;0
Anoplophrya marylandensis;0
Archaeospora sp. PODO7.3;0
Archaeospora trappei;0
Beauveria;0
Boleodorus volutus;0
Cetraspora nodosa;0
Chamaedrilus aff. glandulosus A SM-2014;0
Chytridium polysiphoniae;0
Cladosporium;0
Cladosporium sp. CB-20;0
Claroideoglomus claroideum;0
Cordyceps cylindrica;0
Cordyceps memorabilis;0
Cystobasidium;0
Diversispora;0
Diversispora varaderana;0
Enchytraeus norvegicus;0
Entyloma ficariae;0
Fridericia magna;0
Fridericia paroniana;0
Fridericia ratzeli;0
Fridericia sohlenii;0
Funneliformis mosseae;0
Gaeumannomyces graminis;0
Glomus;0
Glomus invermaium;0
Glomus sp. 9 SUN-2011;0
Helicotylenchus;0
Helicotylenchus varicaudatus;0
Herpetomonas;0
Heterodera;0
Hyphochytrium catenoides;0
Isolaimium multistriatum;0
Itersonilia pannonica;0
Itersonilia perplexans;0
Leptosphaeria biglobosa;0
Limonomyces roseipellis;0
Longidorus;0
Longidorus raskii;0
Longidorus vinearum;0
Magnaporthe;0
Marionina sublitoralis;0
Meloidogyne naasi;0
Merlinius brevidens;0
Merlinius cf. microdorus TSH-2005;0
Merlinius joctus;0
Metarhizium;0
Metarhizium anisopliae;0
Monocystis agilis;0
Nitrospira;0
Nitrospira marina;0
Oligoflexus tunisiensis;0
Olpidium bornovanus;0
Olpidium brassicae;0
Palaeospora spainiae;0
Paraglomus;0
Paraglomus brasilianum;0
Paratylenchus;0
Paratylenchus cf. neoamblicephalus;0
Paratylenchus microdorus;0
Paratylenchus similis;0
Phoma herbarum;0
Polymyxa graminis;0
Pratylenchoides ritteri;0
Pratylenchus;0
Protomyces;0
Rhizoctonia solani;0
Rhizophagus;0
Rhizophagus intraradices;0
Rhizophydium;0
Rhizophydium planktonicum;0
Romanomermis sichuanensis;0
Rotylenchulus borealis;0
Rotylenchulus reniformis;0
Rotylenchus vitis;0
Scutellospora alterata;0
Septoglomus;0
Spirochaeta;0
Trypanosoma;0
Tylenchus arcuatus;0
Waitea circinata;0
Woronina pythii;0
Xiphinema;0
Xiphinema diversicaudatum;0
uncultured Elusimicrobium sp.;0
uncultured Fibrobacter sp.;0
uncultured Fusobacterium sp.;0
uncultured Ignavibacterium sp.;0
uncultured Nitrospira sp.;0
uncultured Turneriella sp.;0
Amphimallon solstitiale;1
Aphanomyces;1
Aphidius ervi;1
Aphis;1
Aphodius johnsoni;1
Athous;1
Aulacorthum solani;1
Barynotus moerens;1
Barynotus obscurus;1
Blaberolaelaps sp. APGD-2010;1
Campodea fragilis;1
Choleva angustata;1
Chthonius;1
Chthonius sp. 2 JM-2008;1
Cylindroiulus caeruleocinctus;1
Entomobrya multifasciata;1
Eosentomon sp. FNSA-2002;1
Forficula;1
Forficula auricularia;1
Forficula sp. NC-1995;1
Fridericia;1
Fridericia bisetosa;1
Fridericia christeri;1
Fridericia connata;1
Fridericia galba;1
Fridericia isseli;1
Fridericia sylvatica;1
Gliricola sp. 274;1
Hesperelaea palmeri;1
Lithobius forficatus;1
Lithobius variegatus;1
Lonchoptera lutea;1
Lumbricus centralis;1
Lumbricus friendi;1
Marionina cf. minutissima PDW-2010;1
Marionina filiformis;1
Myrmica scabrinodis;1
Myzus persicae;1
Noctua pronuba;1
Notiophilus rufipes;1
Pemphigus;1
Polydesmus coriaceus;1
Protoribates hakonensis;1
Pythium;1
Pythium monospermum;1
Pythium rostratifingens;1
Rhopalosiphum padi;1
Robertus neglectus;1
Sitona lineatus;1
Tachyporus hypnorum;1
Tetranychus urticae;1
Trechus;1
Trechus obtusus;1
Trechus quadristriatus;1
Acyrthosiphon pisum;2
Agriotes;2
Agriotes sordidus;2
Anystis;2
Bos taurus;2
Bradysia subrufescens;2
Campodea;2
Juncus;2
Tipula abdominalis;2
Tipula cockerelliana;2
Veigaia;2
Veigaia nemorensis;2
Veigaia sp. 2 APGD-2010;2
Achaeta;3
Achaeta affinis;3
Achaeta bifollicula;3
Achaeta cf. bohemica PDW-2010;3
Acrobeles sp.;3
Acrobeloides;3
Alaimus;3
Alicorhagia;3
Alnus;3
Amphidelus cf. pusillus 9 Mile 3-17 LP-02;3
Anatonchus tridentatus;3
Aporcelaimellus sp. 2010_050;3
Basiria;3
Bastiania;3
Bastiania gracilis;3
Buchholzia fallax;3
Calluna vulgaris;3
Cephalobus persegnis;3
Ceratophysella sp. FZ-2014;3
Clarkus;3
Diplogasteroides magnus;3
Discolaimus cf. major HHBM-2007a;3
Ecumenicus;3
Enchytraeus;3
Enchytraeus albidus;3
Enchytraeus buchholzi;3
Enchytraeus christenseni;3
Enchytraeus lacteus;3
