"";"retained_tax";"class";"fam";"codeFW"
"1";"Abies";2;"Pinaceae";"Phototroph::Pinales"
"2";"Absidia glauca";7;"Cunninghamellaceae";"Saprotroph::Fungi"
"3";"Achaeta";4;"Enchytraeidae";"Saprophageous::Enchy"
"4";"Achaeta affinis";4;"Enchytraeidae";"Saprophageous::Enchy"
"5";"Achaeta bifollicula";4;"Enchytraeidae";"Saprophageous::Enchy"
"6";"Achaeta cf. bohemica PDW-2010";4;"Enchytraeidae";"Saprophageous::Enchy"
"7";"Achaeta unibulba";4;"Enchytraeidae";"Saprophageous::Enchy"
"8";"Achillea millefolium";2;"Asteraceae";"Phototroph::Asteraceae"
"9";"Acidobacterium";17;"Acidobacteriaceae";"Miners::Bacterie"
"10";"Acidobacterium sp. pan6";17;"Acidobacteriaceae";"Miners::Bacterie"
"11";"Acinetobacter";17;"Moraxellaceae";"Opportunists::Bacterie"
"12";"Acrobeles sp.";16;"Cephalobidae";"Bacterivorous::Nematode"
"13";"Acrobeloides";16;"Cephalobidae";"Bacterivorous::Nematode"
"14";"Acrospermum";7;"Acrospermaceae";"Saprotroph::Fungi"
"15";"Acrospermum gramineum";7;"Acrospermaceae";"Saprotroph::Fungi"
"16";"Actinochloris sp. BCP-LG3VF20";23;"Actinochloridaceae";"Phototroph::Algae"
"17";"Actinocrinis puniceicyclus";17;"Actinospicaceae";"Decomposers::Bacterie"
"18";"Actinomadura sp. 1g12710";17;"Thermomonosporaceae";"Decomposers::Bacterie"
"19";"Actinoplanes";17;"Micromonosporaceae";"Decomposers::Bacterie"
"20";"Actinoplanes sp. IR51-RC111";17;"Micromonosporaceae";"Decomposers::Bacterie"
"21";"Acyrthosiphon pisum";15;"Aphididae";"Phytophage::Acyrthosiphon"
"22";"Adhaeribacter";17;"Hymenobacteraceae";"Decomposers::Bacterie"
"23";"Adineta vaga";18;"Adinetidae";"Pred1free::Protist"
"24";"Aeromicrobium panaciterrae";17;"Nocardioidaceae";"Decomposers::Bacterie"
"25";"Aeromicrobium sp. HJX17";17;"Nocardioidaceae";"Decomposers::Bacterie"
"26";"Aeromicrobium sp. RODSPM17";17;"Nocardioidaceae";"Decomposers::Bacterie"
