"";"x"
"1";"Abies"
"2";"Absidia glauca"
"3";"Achaeta"
"4";"Achaeta affinis"
"5";"Achaeta bifollicula"
"6";"Achaeta cf. bohemica PDW-2010"
"7";"Achaeta unibulba"
"8";"Achillea millefolium"
"9";"Acidobacterium"
"10";"Acidobacterium sp. pan6"
"11";"Acinetobacter"
"12";"Acrobeles sp."
"13";"Acrobeloides"
"14";"Acrospermum"
"15";"Acrospermum gramineum"
"16";"Actinochloris sp. BCP-LG3VF20"
"17";"Actinocrinis puniceicyclus"
"18";"Actinomadura sp. 1g12710"
"19";"Actinoplanes"
"20";"Actinoplanes sp. IR51-RC111"
"21";"Acyrthosiphon pisum"
"22";"Adhaeribacter"
"23";"Adineta vaga"
"24";"Aeromicrobium panaciterrae"
"25";"Aeromicrobium sp. HJX17"
"26";"Aeromicrobium sp. RODSPM17"
"27";"Aetherobacter"
"28";"Aggregicoccus edonensis"
"29";"Agriotes"
"30";"Agriotes sordidus"
"31";"Agromyces"
"32";"Alaimus"
"33";"Alicorhagia"
"34";"Allolobophora chlorotica"
"35";"Allovahlkampfia"
"36";"Alnus"
"37";"Altererythrobacter"
"38";"Altererythrobacter buctense"
"39";"Altererythrobacter sp. 100921-2"
"40";"Ambispora fennica"
"41";"Ambispora gerdemannii"
"42";"Amphidelus cf. pusillus 9 Mile 3-17 LP-02"
"43";"Amphileptus sp. ZY-2014b"
"44";"Amphimallon solstitiale"
"45";"Amplimerlinius"
"46";"Amplimerlinius icarus"
"47";"Amycolatopsis tolypomycina"
"48";"Anaeromyxobacter"
"49";"Anatonchus tridentatus"
"50";"Angustibacter luteus"
"51";"Anoplophrya marylandensis"
"52";"Anteholosticha"
"53";"Anteholosticha gracilis"
"54";"Anteholosticha monilata"
"55";"Anteholosticha rectangula"
"56";"Anystis"
"57";"Aphanomyces"
"58";"Aphelenchoides"
"59";"Aphelenchoides sp. 2137"
"60";"Aphelenchus"
"61";"Aphelenchus avenae"
"62";"Aphidius ervi"
"63";"Aphis"
"64";"Aphodius johnsoni"
"65";"Apiotrichum"
"66";"Apiotrichum porosum"
"67";"Aporcelaimellus sp. 2010_050"
"68";"Aporrectodea"
"69";"Aporrectodea caliginosa"
"70";"Aporrectodea longa"
"71";"Aporrectodea rosea"
"72";"Apusomonas proboscidea"
"73";"Aquihabitans daechungensis"
"74";"Archaeorhizomyces"
"75";"Archaeorhizomyces borealis"
"76";"Archaeorhizomyces finlayi"
