"";"n";"connectivity";"sumbg";"s";"p";"trt"
"1";"A-_1";"0.0869565217391304";"7";"Mons";"A";"0"
"2";"A-_2";"0.0869565217391304";"8.77777777777778";"Mons";"A";"0"
"3";"A-_3";"0.0869565217391304";"8.77777777777778";"Mons";"A";"0"
"4";"A-_4";"0.0960144927536232";"3.69565217391304";"Mons";"A";"0"
"5";"A+_1";"0.095";"3.95652173913043";"Mons";"A";"1"
"6";"A+_2";"0.095";"3.95652173913043";"Mons";"A";"1"
"7";"A+_3";"0.0942028985507246";"3.78260869565217";"Mons";"A";"1"
"8";"A+_4";"0.095";"3.95652173913043";"Mons";"A";"1"
"9";"B-_1";"0.0983333333333333";"7.41666666666667";"Mons";"B";"0"
"10";"B-_2";"0.0983333333333333";"7.41666666666667";"Mons";"B";"0"
"11";"B-_3";"0.0983333333333333";"7.41666666666667";"Mons";"B";"0"
"12";"B-_4";"0.0983333333333333";"7.41666666666667";"Mons";"B";"0"
"13";"B+_1";"0.106153846153846";"3.73076923076923";"Mons";"B";"1"
"14";"B+_2";"0.1";"3.8695652173913";"Mons";"B";"1"
"15";"B+_3";"0.0983333333333333";"7.41666666666667";"Mons";"B";"1"
"16";"B+_4";"0.095";"3.95652173913043";"Mons";"B";"1"
"17";"C-_1";"0.0983333333333333";"7.41666666666667";"Lus";"C";"0"
"18";"C-_2";"0.0983333333333333";"7.41666666666667";"Lus";"C";"0"
"19";"C-_3";"0.1";"3.8695652173913";"Lus";"C";"0"
"20";"C-_4";"0.106153846153846";"3.73076923076923";"Lus";"C";"0"
"21";"C+_1";"0.0869565217391304";"9.22222222222222";"Lus";"C";"1"
"22";"C+_2";"0.0983333333333333";"7.41666666666667";"Lus";"C";"1"
"23";"C+_3";"0.0866666666666667";"7.33333333333333";"Lus";"C";"1"
"24";"C+_4";"0.0969230769230769";"6.26666666666667";"Lus";"C";"1"
"25";"D-_1";"0.0948616600790514";"8.33333333333333";"Lus";"D";"0"
"26";"D-_2";"0.0983333333333333";"7.41666666666667";"Lus";"D";"0"
"27";"D-_3";"0.0983333333333333";"7.41666666666667";"Lus";"D";"0"
"28";"D-_4";"0.0983333333333333";"7.41666666666667";"Lus";"D";"0"
"29";"D+_1";"0.108333333333333";"3.5";"Lus";"D";"1"
"30";"D+_2";"0.0978260869565217";"7.08333333333333";"Lus";"D";"1"
"31";"D+_3";"0.0983333333333333";"7.41666666666667";"Lus";"D";"1"
"32";"D+_4";"0.0983333333333333";"7.41666666666667";"Lus";"D";"1"
"33";"E-_1";"0.101449275362319";"6.91666666666667";"Lus";"E";"0"
"34";"E-_2";"0.101449275362319";"6.91666666666667";"Lus";"E";"0"
"35";"E-_3";"0.101449275362319";"6.91666666666667";"Lus";"E";"0"
"36";"E-_4";"0.100790513833992";"6.58333333333333";"Lus";"E";"0"
"37";"E+_1";"0.106153846153846";"3.73076923076923";"Lus";"E";"1"
"38";"E+_2";"0.101449275362319";"6.91666666666667";"Lus";"E";"1"
"39";"E+_3";"0.0983333333333333";"7.41666666666667";"Lus";"E";"1"
"40";"E+_4";"0.095";"3.95652173913043";"Lus";"E";"1"
"41";"F-_1";"0.0969230769230769";"6.26666666666667";"Theix";"F";"0"
"42";"F-_2";"0.0983333333333333";"7.41666666666667";"Theix";"F";"0"
"43";"F-_3";"0.0983333333333333";"7.41666666666667";"Theix";"F";"0"
"44";"F-_4";"0.106153846153846";"3.73076923076923";"Theix";"F";"0"
"45";"F+_1";"0.106153846153846";"3.73076923076923";"Theix";"F";"1"
"46";"F+_2";"0.0983333333333333";"7.41666666666667";"Theix";"F";"1"
"47";"F+_3";"0.106153846153846";"3.73076923076923";"Theix";"F";"1"
"48";"F+_4";"0.0983333333333333";"7.41666666666667";"Theix";"F";"1"
"49";"G-_1";"0.0983333333333333";"7.41666666666667";"Theix";"G";"0"
"50";"G-_2";"0.0869565217391304";"9.22222222222222";"Theix";"G";"0"
"51";"G-_3";"0.0869565217391304";"9.22222222222222";"Theix";"G";"0"
"52";"G-_4";"0.0869565217391304";"9";"Theix";"G";"0"
"53";"G+_1";"0.0869565217391304";"9.22222222222222";"Theix";"G";"1"
"54";"G+_2";"0.0983333333333333";"7.41666666666667";"Theix";"G";"1"
"55";"G+_3";"0.0869565217391304";"9.22222222222222";"Theix";"G";"1"
"56";"G+_4";"0.0978260869565217";"7.25";"Theix";"G";"1"
"57";"H-_1";"0.106153846153846";"3.73076923076923";"Theix";"H";"0"
"58";"H-_2";"0.0983333333333333";"7.41666666666667";"Theix";"H";"0"
"59";"H-_3";"0.106153846153846";"3.73076923076923";"Theix";"H";"0"
"60";"H-_4";"0.0983333333333333";"7.41666666666667";"Theix";"H";"0"
"61";"H+_1";"0.0983333333333333";"7.41666666666667";"Theix";"H";"1"
"62";"H+_2";"0.0978260869565217";"7.25";"Theix";"H";"1"
"63";"H+_3";"0.0983333333333333";"7.41666666666667";"Theix";"H";"1"
"64";"H+_4";"0.0983333333333333";"7.41666666666667";"Theix";"H";"1"
