"";"Meth";"Tax";"P1";"P2";"DiffP12";"DiffP21"
"1";"sbm";"family";"A-";"A-";"";""
"2";"sbm";"family";"A-";"A+";"V10";""
"3";"sbm";"family";"A-";"B-";"";""
"4";"sbm";"family";"A-";"B+";"";""
"5";"sbm";"family";"A-";"C-";"";"V14"
"6";"sbm";"family";"A-";"C+";"";""
"7";"sbm";"family";"A-";"D-";"";""
"8";"sbm";"family";"A-";"D+";"";""
"9";"sbm";"family";"A-";"E-";"";""
"10";"sbm";"family";"A-";"E+";"";""
"11";"sbm";"family";"A-";"F-";"";""
"12";"sbm";"family";"A-";"F+";"";""
"13";"sbm";"family";"A-";"G-";"";"V14"
"14";"sbm";"family";"A-";"G+";"";""
"15";"sbm";"family";"A-";"H-";"";""
"16";"sbm";"family";"A-";"H+";"";""
"17";"sbm";"family";"A+";"A-";"";"V10"
"18";"sbm";"family";"A+";"A+";"";""
"19";"sbm";"family";"A+";"B-";"";"V10"
"20";"sbm";"family";"A+";"B+";"";"V10"
"21";"sbm";"family";"A+";"C-";"";"V10, V14"
"22";"sbm";"family";"A+";"C+";"";"V10"
"23";"sbm";"family";"A+";"D-";"";"V10"
"24";"sbm";"family";"A+";"D+";"";"V10"
"25";"sbm";"family";"A+";"E-";"";"V10"
"26";"sbm";"family";"A+";"E+";"";"V10"
"27";"sbm";"family";"A+";"F-";"";"V10"
"28";"sbm";"family";"A+";"F+";"";"V10"
"29";"sbm";"family";"A+";"G-";"";"V10, V14"
"30";"sbm";"family";"A+";"G+";"";"V10"
"31";"sbm";"family";"A+";"H-";"";"V10"
"32";"sbm";"family";"A+";"H+";"";"V10"
"33";"sbm";"family";"B-";"A-";"";""
"34";"sbm";"family";"B-";"A+";"V10";""
"35";"sbm";"family";"B-";"B-";"";""
"36";"sbm";"family";"B-";"B+";"";""
"37";"sbm";"family";"B-";"C-";"";"V14"
"38";"sbm";"family";"B-";"C+";"";""
"39";"sbm";"family";"B-";"D-";"";""
"40";"sbm";"family";"B-";"D+";"";""
"41";"sbm";"family";"B-";"E-";"";""
"42";"sbm";"family";"B-";"E+";"";""
"43";"sbm";"family";"B-";"F-";"";""
"44";"sbm";"family";"B-";"F+";"";""
"45";"sbm";"family";"B-";"G-";"";"V14"
"46";"sbm";"family";"B-";"G+";"";""
"47";"sbm";"family";"B-";"H-";"";""
"48";"sbm";"family";"B-";"H+";"";""
"49";"sbm";"family";"B+";"A-";"";""
"50";"sbm";"family";"B+";"A+";"V10";""
"51";"sbm";"family";"B+";"B-";"";""
"52";"sbm";"family";"B+";"B+";"";""
