"";"retained_tax";"class";"codeFW"
"1";"Acaridae";2;"Fungivorous::Astigmata"
"2";"Acetobacteraceae";5;"Decomposers::Bacterie"
"3";"Acidiferrobacteraceae";5;"Opportunists::Bacterie"
"4";"Acidimicrobiaceae";5;"Decomposers::Bacterie"
"5";"Acidobacteriaceae";5;"Miners::Bacterie"
"6";"Acidothermaceae";5;"Decomposers::Bacterie"
"7";"Acropisthiidae";12;"Pred2free::Protist"
"8";"Acrospermaceae";13;"Saprotroph::Fungi"
"9";"Actinochloridaceae";15;"Phototroph::Algae"
"10";"Actinomycetaceae";5;"Decomposers::Bacterie"
"11";"Actinospicaceae";5;"Decomposers::Bacterie"
"12";"Adinetidae";4;"Pred1free::Protist"
"13";"Alaimidae";6;"Bacterivorous::Nematode"
"14";"Alcaligenaceae";5;"Decomposers::Bacterie"
"15";"Alicorhagiidae";16;"Non.selective::Endeostigmata"
"16";"Ambisporaceae";16;"ACM::Glomeromyc"
"17";"Amphileptidae";12;"Pred2free::Protist"
"18";"Amphisiellidae";12;"Pred2free::Protist"
"19";"Anaerolineaceae";5;"Decomposers::Bacterie"
"20";"Anaeromyxobacteraceae";5;"Decomposers::Bacterie"
"21";"Anatonchidae";11;"Pred3::Nematode"
"22";"Anguinidae";2;"Fungivorous::Nematode"
"23";"Anoplophryidae";16;"Parasitic::Anoplophrya"
"24";"Anystidae";1;"Pred3::Mesostigmata"
"25";"Aphelenchidae";2;"Fungivorous::Nematode"
"26";"Aphelenchoididae";2;"Fungivorous::Nematode"
"27";"Aphididae";17;"Phytophage::Aphididae"
"28";"Apiaceae";18;"Phototroph::Apiaceae"
"29";"Apocynaceae";18;"Phototroph::non-legume"
"30";"Aporcelaimidae";11;"Pred3::Nematode"
"31";"Apusomonadidae";7;"Pred1attach::Protist"
"32";"Aquifoliaceae";18;"Phototroph::non-legume"
"33";"Archaeorhizomycetaceae";13;"Saprotroph::Fungi"
"34";"Archaeosporaceae";16;"ACM::Glomeromyc"
"35";"Archangiaceae";5;"Decomposers::Bacterie"
"36";"Ascobolaceae";13;"Coprotroph::Ascomycota"
"37";"Aspergillaceae";13;"Saprotroph::Fungi"
"38";"Asteraceae";18;"Phototroph::Asteraceae"
"39";"Aurantimonadaceae";5;"Decomposers::Bacterie"
"40";"Bacillaceae";5;"Decomposers::Bacterie"
"41";"Bacillariaceae";15;"Phototroph::Algae"
"42";"Bacteriovoracaceae";5;"Decomposers::Bacterie"
"43";"Bacteroidaceae";5;"Decomposers::Bacterie"
"44";"Bardeliellidae";7;"Pred1attach::Protist"
"45";"Basidiobolaceae";13;"Saprotroph::Fungi"
"46";"Bdellovibrionaceae";5;"Decomposers::Bacterie"
"47";"Beijerinckiaceae";5;"Decomposers::Bacterie"
"48";"Betulaceae";18;"Phototroph::Fagales"
"49";"Bicosoecidae";4;"Pred1free::Protist"
"50";"Bionectriaceae";13;"Saprotroph::Fungi"
"51";"Blepharismidae";4;"Pred1free::Protist"
"52";"Bodonidae";8;"Bacterivorous::Protist"
"53";"Bolbitiaceae";13;"Coprotroph::Basidiomycota"
"54";"Botryidiopsidaceae";15;"Phototroph::Algae"
"55";"Botryochloridaceae";15;"Phototroph::Algae"
"56";"Bovidae";17;"Mammifere"
"57";"Brachionidae";4;"Pred1free::Protist"
"58";"Brachychthoniidae";16;"Saprophage::Oribate"
"59";"Braconidae";16;"Parasitic::Aphidius"
"60";"Bracteacoccaceae";15;"Phototroph::Algae"
"61";"Bradyrhizobiaceae";5;"Decomposers::Bacterie"
"62";"Brassicaceae";18;"Phototroph::Brassicaceae"
"63";"Brucellaceae";5;"Decomposers::Bacterie"
"64";"Bryometopidae";19;"Pred2attach::Protist"
"65";"Bulleraceae";13;"Saprotroph::Fungi"
"66";"Bulleribasidiaceae";13;"Saprotroph::Fungi"
"67";"Burkholderiaceae";5;"Decomposers::Bacterie"
"68";"Caldilineaceae";5;"Decomposers::Bacterie"
"69";"Campodeidae";16;"Saprophage::Diploure"
"70";"Carabidae";16;"Pred4::Carabidae"
"71";"Caricaceae";18;"Phototroph::non-legume"
"72";"Caryophyllaceae";18;"Phototroph::Caryophyllaceae"
"73";"Catenariaceae";13;"Saprotroph::Fungi"
"74";"Catenulisporaceae";5;"Decomposers::Bacterie"
"75";"Caulerpaceae";15;"Phototroph::Algae"
"76";"Caulobacteraceae";5;"Decomposers::Bacterie"
"77";"Cellulomonadaceae";5;"Decomposers::Bacterie"
"78";"Cellvibrionaceae";5;"Opportunists::Bacterie"
"79";"Cenarchaeaceae";20;"Decomposers::Archae"
"80";"Centritractaceae";15;"Phototroph::Algae"
"81";"Cephalobidae";6;"Bacterivorous::Nematode"
"82";"Ceratobasidiaceae";16;"Parasitic::Rhizoctonia_s"
"83";"Cercomonadidae";7;"Pred1attach::Protist"
"84";"Chaetophoraceae";15;"Phototroph::Algae"
"85";"Chaetosphaeriaceae";13;"Saprotroph::Fungi"
"86";"Chilodonellidae";21;"Algivorous::Protist"
"87";"Chitinophagaceae";5;"Decomposers::Bacterie"
"88";"Chlamydomonadaceae";15;"Phototroph::Algae"
"89";"Chlamydophryidae";21;"Algivorous::Protist"
"90";"Chlorellaceae";15;"Phototroph::Algae"
"91";"Chlorococcaceae";15;"Phototroph::Algae"
"92";"Chloroflexaceae";5;"Decomposers::Bacterie"
"93";"Chromatiaceae";5;"Opportunists::Bacterie"
"94";"Chromulinaceae";9;"Phytophage::Algae"
"95";"Chthoniidae";1;"Pred3::Pseudosc"
"96";"Chthoniobacteraceae";5;"Decomposers::Bacterie"
"97";"Chytridiaceae";13;"Saprotroph::Chytridium"
"98";"Cinetochilidae";4;"Pred1free::Protist"
"99";"Cladosporiaceae";17;"Parasitic::Cladosporium"
"100";"Claroideoglomeraceae";16;"ACM::Glomeromyc"
"101";"Clavariaceae";13;"Saprotroph::Fungi"
"102";"Clavicipitaceae";3;"Parasitic::Entomopath"
"103";"Clavulinaceae";13;"Saprotroph::Multiclavula "
"104";"Clostridiaceae";5;"Decomposers::Bacterie"
"105";"Clostridiales Family XVII. Incertae Sedis";5;"Decomposers::Bacterie"
"106";"Colpodidae";7;"Pred1attach::Protist"
"107";"Comamonadaceae";5;"Decomposers::Bacterie"
"108";"Conexibacteraceae";5;"Decomposers::Bacterie"
"109";"Convolvulaceae";18;"Phototroph::non-legume"
"110";"Cordycipitaceae";3;"Parasitic::Entomopath"
"111";"Corticiaceae";13;"Saprotroph::Fungi"
"112";"Coxiellaceae";5;"Opportunists::Bacterie"
"113";"Crocinitomicaceae";5;"Decomposers::Bacterie"
"114";"Cryphonectriaceae";13;"Lignotroph::Fungi"
"115";"Cryptococcaceae";13;"Saprotroph::Fungi"
"116";"Cucurbitaceae";18;"Phototroph::non-legume"
"117";"Cucurbitariaceae";13;"Saprotroph::Fungi"
"118";"Cunninghamellaceae";13;"Saprotroph::Fungi"
"119";"Curculionidae";16;"Phytophage::Barynotus"
"120";"Cyclidiidae";4;"Pred1free::Protist"
"121";"Cyphellophoraceae";13;"Saprotroph::Fungi"
"122";"Cyrtolophosididae";7;"Pred1attach::Protist"
"123";"Cystobasidiaceae";16;"Parasitic::Cystobasidium"
"124";"Cytophagaceae";5;"Decomposers::Bacterie"
"125";"Dacrymycetaceae";13;"Lignotroph::Fungi"
"126";"Dehalococcoidaceae";5;"Decomposers::Bacterie"
"127";"Demequinaceae";5;"Decomposers::Bacterie"
"128";"Desulfobulbaceae";5;"Decomposers::Bacterie"
"129";"Desulfovibrionaceae";5;"Decomposers::Bacterie"
"130";"Desulfuromonadaceae";5;"Decomposers::Bacterie"
"131";"Diadesmidaceae";15;"Phototroph::Algae"
"132";"Dictyosporiaceae";13;"Saprotroph::Fungi"
"133";"Didymellaceae";17;"Parasitic::Phoma"
"134";"Dileptidae";12;"Pred2free::Protist"
"135";"Dinobryaceae";5;"Phototroph::Algae"
"136";"Diplogasteroididae";11;"Pred3::Nematode"
"137";"Dipodascaceae";13;"Saprotroph::Fungi"
"138";"Diversisporaceae";16;"ACM::Glomeromyc"
"139";"Dorylaimidae";10;"Non.selective::Nematode"
"140";"Echinamoebidae";7;"Pred1attach::Protist"
"141";"Ectothiorhodospiraceae";5;"Opportunists::Bacterie"
"142";"Elateridae";17;"Phytophage::Elateridae"
"143";"Elusimicrobiaceae";5;"Unknown::Bacterie"
"144";"Enchytraeidae";16;"Saprophageous::Enchy"
"145";"Endochytriaceae";13;"Saprotroph::Fungi"
"146";"Endogonaceae";13;"Saprotroph::Endogone"
"147";"Enterobacteriaceae";5;"Opportunists::Bacterie"
"148";"Entomobryidae";2;"Saprofungivore::Collembole"
"149";"Entylomataceae";16;"Parasitic::Entyloma"
"150";"Eosentomidae";2;"Fungivorous::Insect"
"151";"Epistylidae";4;"Pred1free::Protist"
"152";"Ericaceae";18;"Phototroph::non-legume"
"153";"Erythrobacteraceae";5;"Decomposers::Bacterie"
"154";"Eudubosquellidae";15;"Phototroph::Algae"
"155";"Euglyphidae";7;"Pred1attach::Protist"
"156";"Euplotidae";19;"Pred2attach::Protist"
"157";"Eustigmataceae";15;"Phototroph::Algae"
"158";"Fabaceae";18;"Phototroph::Fabaceae"
"159";"Fibrobacteraceae";5;"Unknown::Bacterie"
"160";"Filobasidiaceae";13;"Saprotroph::Fungi"
"161";"Flavobacteriaceae";5;"Decomposers::Bacterie"
"162";"Forficulidae";14;"Non.selective::Forficulidae"
"163";"Formicidae";16;"Non.selective::Myrmica"
"164";"Frankiaceae";5;"Decomposers::Bacterie"
"165";"Fusobacteriaceae";5;"Unknown::Bacterie"
"166";"Gaiellaceae";5;"Decomposers::Bacterie"
"167";"Galumnidae";16;"Saprophage::Oribate"
"168";"Geastraceae";13;"Saprotroph::Fungi"
"169";"Gemmataceae";5;"Miners::Bacterie"
"170";"Gemmatimonadaceae";5;"Miners::Bacterie"
"171";"Geobacteraceae";5;"Decomposers::Bacterie"
"172";"Geodermatophilaceae";5;"Decomposers::Bacterie"
"173";"Geraniaceae";18;"Phototroph::non-legume"
"174";"Gigasporaceae";16;"ACM::Glomeromyc"
"175";"Glomeraceae";16;"ACM::Glomeromyc"
"176";"Glossiphoniidae";16;"Parasitic::Glossiphoniidae"
"177";"Grossglockneriidae";2;"Fungivorous::Protist"
"178";"Gyropidae";16;"Parasitic::Gliricola"
"179";"Halieaceae";5;"Opportunists::Bacterie"
"180";"Halosphaeriaceae";13;"Saprotroph::Fungi"
"181";"Halteriidae";4;"Pred1free::Protist"
"182";"Hartmannellidae";7;"Pred1attach::Protist"
"183";"Hausmanniellidae";7;"Pred1attach::Protist"
"184";"Helotiaceae";13;"Saprotroph::Fungi"
"185";"Heteroderidae";17;"Parasitic_p::Nematode"
"186";"Heteromitidae";7;"Pred1attach::Protist"
