"";"retained_tax";"class";"codeFW"
"1";"Abies";2;"Phototroph::Pinales"
"2";"Absidia";5;"Saprotroph::Fungi"
"3";"Achaeta";3;"Saprophageous::Enchy"
"4";"Achillea";2;"Phototroph::Asteraceae"
"5";"Acidimicrobium";13;"Decomposers::Bacterie"
"6";"Acidisphaera";13;"Decomposers::Bacterie"
"7";"Aciditerrimonas";13;"Decomposers::Bacterie"
"8";"Acidobacterium";13;"Miners::Bacterie"
"9";"Acidothermus";13;"Decomposers::Bacterie"
"10";"Acidovorax";13;"Decomposers::Bacterie"
"11";"Acinetobacter";13;"Opportunists::Bacterie"
"12";"Acrobeles";12;"Bacterivorous::Nematode"
"13";"Acrobeloides";12;"Bacterivorous::Nematode"
"14";"Acrospermum";5;"Saprotroph::Fungi"
"15";"Actinoallomurus";13;"Decomposers::Bacterie"
"16";"Actinocatenispora";13;"Decomposers::Bacterie"
"17";"Actinochloris";18;"Phototroph::Algae"
"18";"Actinocrinis";13;"Decomposers::Bacterie"
"19";"Actinomadura";13;"Decomposers::Bacterie"
"20";"Actinomyces";13;"Decomposers::Bacterie"
"21";"Actinoplanes";13;"Decomposers::Bacterie"
"22";"Acyrthosiphon";3;"Phytophage::Acyrthosiphon"
"23";"Adhaeribacter";13;"Decomposers::Bacterie"
"24";"Adineta";14;"Pred1free::Protist"
"25";"Aeromicrobium";13;"Decomposers::Bacterie"
"26";"Aetherobacter";13;"Decomposers::Bacterie"
"27";"Aggregicoccus";13;"Decomposers::Bacterie"
"28";"Agriotes";1;"Phytophage::Elateridae"
"29";"Agromyces";13;"Decomposers::Bacterie"
"30";"Alaimus";12;"Bacterivorous::Nematode"
"31";"Alicorhagia";3;"Non.selective::Endeostigmata"
"32";"Allolobophora";3;"Geophageous::Lumb"
"33";"Allovahlkampfia";15;"Bacterivorous::Protist"
"34";"Alnus";2;"Phototroph::Fagales"
"35";"Altererythrobacter";13;"Decomposers::Bacterie"
"36";"Ambispora";9;"ACM::Glomeromyc"
"37";"Aminobacter";13;"Decomposers::Bacterie"
"38";"Amphidelus";12;"Bacterivorous::Nematode"
"39";"Amphileptus";19;"Pred2free::Protist"
"40";"Amphimallon";3;"Coprophage::Insect"
"41";"Amplimerlinius";1;"Parasitic_p::Nematode"
"42";"Amycolatopsis";13;"Decomposers::Bacterie"
"43";"Anaeromyxobacter";13;"Decomposers::Bacterie"
"44";"Anatonchus";20;"Pred3::Nematode"
"45";"Angustibacter";13;"Decomposers::Bacterie"
"46";"Anoplophrya";9;"Parasitic::Anoplophrya"
"47";"Anteholosticha";21;"Pred2attach::Protist"
"48";"Anystis";10;"Pred3::Mesostigmata"
"49";"Aphanomyces";9;"Pathogen::Aphanomyces"
"50";"Aphelenchoides";4;"Fungivorous::Nematode"
"51";"Aphelenchus";4;"Fungivorous::Nematode"
"52";"Aphidius";3;"Parasitic::Aphidius"
"53";"Aphis";3;"Phytophage::Aphis"
"54";"Aphodius";3;"Coprophage::Insect"
"55";"Apiotrichum";5;"Saprotroph::Fungi"
"56";"Aporcelaimellus";20;"Pred3::Nematode"
"57";"Aporrectodea";3;"Geophageous::Lumb"
"58";"Apusomonas";16;"Pred1attach::Protist"
"59";"Aquihabitans";13;"Decomposers::Bacterie"
"60";"Archaeorhizomyces";5;"Saprotroph::Fungi"
"61";"Archaeospora";9;"ACM::Glomeromyc"
"62";"Arcuospathidium";19;"Pred2free::Protist"
"63";"Arenimonas";13;"Opportunists::Bacterie"
"64";"Arthrobacter";13;"Decomposers::Bacterie"
"65";"Articulospora";5;"Saprotroph::Fungi"
"66";"Ascobolus";5;"Coprotroph::Ascomycota"
"67";"Asterostroma";5;"Saprotroph::Fungi"
"68";"Athous";1;"Phytophage::Elateridae"
"69";"Aulacorthum";3;"Phytophage::Aulacorthum"
"70";"Auxarthron";5;"Saprotroph::Fungi"
"71";"Azospirillum";13;"Decomposers::Bacterie"
"72";"Bacillus";13;"Decomposers::Bacterie"
"73";"Bacteriovorax";13;"Decomposers::Bacterie"
"74";"Bacteroides";13;"Decomposers::Bacterie"
"75";"Bardeliella";16;"Pred1attach::Protist"
"76";"Barynotus";3;"Phytophage::Barynotus"
