"";"retained_tax";"class";"codeFW"
"1";"Absidia glauca";2;"Saprotroph::Fungi"
"2";"Achaeta affinis";7;"Saprophageous::Enchy"
"3";"Achaeta bifollicula";7;"Saprophageous::Enchy"
"4";"Achaeta cf. bohemica PDW-2010";7;"Saprophageous::Enchy"
"5";"Achaeta unibulba";7;"Saprophageous::Enchy"
"6";"Achillea millefolium";10;"Phototroph::Asteraceae"
"7";"Acidobacterium sp. pan6";13;"Miners::Bacterie"
"8";"Acrobeles sp.";12;"Bacterivorous::Nematode"
"9";"Acrospermum gramineum";2;"Saprotroph::Fungi"
"10";"Actinochloris sp. BCP-LG3VF20";18;"Phototroph::Algae"
"11";"Actinocrinis puniceicyclus";19;"Decomposers::Bacterie"
"12";"Actinomadura sp. 1g12710";19;"Decomposers::Bacterie"
"13";"Actinoplanes sp. IR51-RC111";19;"Decomposers::Bacterie"
"14";"Acyrthosiphon pisum";6;"Phytophage::Acyrthosiphon"
"15";"Adineta vaga";14;"Pred1free::Protist"
"16";"Aeromicrobium panaciterrae";19;"Decomposers::Bacterie"
"17";"Aeromicrobium sp. HJX17";19;"Decomposers::Bacterie"
"18";"Aeromicrobium sp. RODSPM17";19;"Decomposers::Bacterie"
"19";"Aggregicoccus edonensis";19;"Decomposers::Bacterie"
"20";"Agriotes sordidus";6;"Phytophage::Elateridae"
"21";"Allolobophora chlorotica";6;"Geophageous::Lumb"
"22";"Altererythrobacter buctense";19;"Decomposers::Bacterie"
"23";"Altererythrobacter sp. 100921-2";19;"Decomposers::Bacterie"
"24";"Ambispora fennica";6;"ACM::Glomeromyc"
"25";"Ambispora gerdemannii";6;"ACM::Glomeromyc"
"26";"Amphidelus cf. pusillus 9 Mile 3-17 LP-02";12;"Bacterivorous::Nematode"
"27";"Amphileptus sp. ZY-2014b";20;"Pred2free::Protist"
"28";"Amphimallon solstitiale";6;"Coprophage::Insect"
"29";"Amplimerlinius icarus";11;"Parasitic_p::Nematode"
"30";"Amycolatopsis tolypomycina";19;"Decomposers::Bacterie"
"31";"Anatonchus tridentatus";21;"Pred3::Nematode"
"32";"Angustibacter luteus";19;"Decomposers::Bacterie"
"33";"Anoplophrya marylandensis";9;"Parasitic::Anoplophrya"
"34";"Anteholosticha gracilis";22;"Pred2attach::Protist"
"35";"Anteholosticha monilata";22;"Pred2attach::Protist"
"36";"Anteholosticha rectangula";22;"Pred2attach::Protist"
"37";"Aphelenchoides sp. 2137";1;"Fungivorous::Nematode"
"38";"Aphelenchus avenae";1;"Fungivorous::Nematode"
"39";"Aphidius ervi";6;"Parasitic::Aphidius"
"40";"Aphodius johnsoni";6;"Coprophage::Insect"
"41";"Apiotrichum porosum";2;"Saprotroph::Fungi"
"42";"Aporcelaimellus sp. 2010_050";21;"Pred3::Nematode"
"43";"Aporrectodea caliginosa";6;"Geophageous::Lumb"
"44";"Aporrectodea longa";6;"Geophageous::Lumb"
"45";"Aporrectodea rosea";6;"Geophageous::Lumb"
"46";"Apusomonas proboscidea";15;"Pred1attach::Protist"
"47";"Aquihabitans daechungensis";19;"Decomposers::Bacterie"
"48";"Archaeorhizomyces borealis";2;"Saprotroph::Fungi"
"49";"Archaeorhizomyces finlayi";2;"Saprotroph::Fungi"
"50";"Archaeospora sp. PODO7.3";6;"ACM::Glomeromyc"
"51";"Archaeospora trappei";6;"ACM::Glomeromyc"
"52";"Arcuospathidium namibiense";20;"Pred2free::Protist"
"53";"Arenimonas daechungensis";19;"Opportunists::Bacterie"
"54";"Arenimonas sp. HMF3017";19;"Opportunists::Bacterie"
"55";"Articulospora proliferata";2;"Saprotroph::Fungi"
"56";"Ascobolus stercorarius";2;"Coprotroph::Ascomycota"
"57";"Asterostroma andinum";2;"Saprotroph::Fungi"
"58";"Aulacorthum solani";6;"Phytophage::Aulacorthum"
"59";"Azospirillum sp. T2-YC6788";19;"Decomposers::Bacterie"
"60";"Bacteriovorax sp. PNEc1";19;"Decomposers::Bacterie"
"61";"Bardeliella pulchra";15;"Pred1attach::Protist"
"62";"Barynotus moerens";6;"Phytophage::Barynotus"
"63";"Barynotus obscurus";6;"Phytophage::Barynotus"
"64";"Bastiania gracilis";12;"Bacterivorous::Nematode"
"65";"Bdellovibrio exovorus";19;"Decomposers::Bacterie"
"66";"Bicosoeca petiolata";14;"Pred1free::Protist"
